Publisher Name,Publisher Registry Id,Activities,Organisations,Files,Activity Files,Organisation Files,Total File Size,Reporting Org on Registry,Reporting Orgs in Data (count),Reporting Orgs in Data,Hierarchies (count),Hierarchies
Beweging voor Internationale Solidariteit - Mouvement pour la Solidarité Internationale,bismsi,5,1,3,2,1,101929,BE-BCE_KBO-0478060441,1,BE-BCE_KBO-0478060441,2,1;2
Behavioural Insights Team,bit,1,0,1,1,0,10356,GB-COH-08567792,1,GB-COH-08567792,1,1
Business in the Community,bitc,1,1,2,1,1,4072,GB-CHC-297716,1,GB-CHC-297716,1,1
Burundi Leadership Training Programme,bltp,3,1,2,1,1,100200,BI-NIF-4000450306,1,BI-NIF-4000450306,1,null
West Africa Blue,blue,1,0,1,1,0,2623,MU-CR-C191439,1,MU-CR-C191439,1,1
Blue Ventures Conservation,blueventures,1,1,2,1,1,10654,GB-CC-1098893,1,GB-CC-1098893,1,1
Gates Foundation,bmgf,9850,1,11,10,1,94569219,DAC-1601,1,DAC-1601,1,1
International Climate Initiative / BMU - IKI Secretariat,bmu_iki,1054,0,1,1,0,3971812,XI-IATI-IKI,1,XI-IATI-IKI,1,null
Germany - Ministry for Economic Cooperation and Development,bmz,32038,1,145,144,1,263303852,DE-1,1,DE-1,1,1
Bangladesh Nari Progati Sangha,bnps,0,0,0,0,0,0,BD-NAB-0271,0,,0,
BANQUE OUEST AFRICAINE DE DEVELOPPEMENT,boadiita,130,0,8,8,0,279082,XM-DAC-46021,1,XM-DAC-46021,1,1
Bond,bond,14,1,2,1,1,135805,GB-CHC-1068839,1,GB-CHC-1068839,1,1
Commune de Bopa - Bénin,bopa,3,1,2,1,1,240770,BJ-IFU-6200901944209,3,BJ-IFU-6200901944209;BJ-IFU-6201001076902;BJ-IFU-6201001843703,1,null
BoP Innovation Center,bopinc,2,1,2,1,1,29346,NL-KVK-50744984,1,NL-KVK-50744984,1,1
BOS+ tropen,bos_plus_tropen,22,0,2,2,0,342045,BE-BCE_KBO-0479222461,1,BE-BCE_KBO-0479222461,2,1;2
Both ENDS,bothends,14,1,6,5,1,1659741,NL-KVK-41210098,1,NL-KVK-41210098,1,2
Bournemouth University Higher Education Corporation,bournemouth_university,0,1,1,0,1,658,GB-UKPRN-10000824,1,GB-HESA-10000824,0,
Bangladesh Primary Care Respiratory Society,bpcrs,1,1,2,1,1,14971,BD-ROC-S-12313,1,BD-ROC-S-12313,1,1
B. P. Koirala Institute of Health Sciences,bpkihs_dharan,1,1,2,1,1,10456,NP-IRD-201252183,1,NP-IRD-201252183,1,1
BRAC,brac_admin2,5,1,2,1,1,154060,BD-NAB-002,1,BD-NAB-002,1,1
BRAC UK,bracuk,17,1,2,1,1,334555,GB-CHC-1115482,1,GB-CHC-1115482,2,0;1
Brink Innovation,brink_innovation,1,1,2,1,1,12443,GB-COH-11116719,1,GB-COH-11116719,1,1
British Council,britishcouncil,107,1,11,10,1,1988910,GB-CHC-209131,1,GB-CHC-209131,1,1
Brujula Comunicaciones Estrategicas SAS,brujula,0,1,1,0,1,1090,CO-RUE-830140714-1,1,CO-RUE-830140714-1,0,
Brulocalis,brulocalis,10,1,3,2,1,142901,BE-BCE_KBO-0451516390,1,BE-BCE_KBO-0451516390,2,1;2
Bibliothèques Sans Frontières,bsf1,2,2,3,1,2,109078,FR-RCS-49962201700014,2,FR-INSEE-S499622017;FR-RCS-49962201700014,1,1
BSR,bsr_admin,5,1,4,3,1,12471,US-EIN-52-1764268,1,US-EIN-52-1764268,1,2
BRAC University,bu,20,1,3,2,1,571855,XI-GRID-grid.52681.38,3,BD-MEGPRB-SHIM-SHA-14-13-BE-BI-5-97-142;XI-GRID-XI-GRID-grid.52681.38;XI-GRID-grid.52681.38,1,1
Boston University,bu-carbx-admin,31,1,2,1,1,46292,US-EIN-04-2103547,1,US-EIN-04-2103547,1,1
Bucks Community NGO,bucksfarm,1,0,1,1,0,7870,UG-NGB-10890,1,UG-NGB-10890,1,1
Build Africa,buildafrica,2,1,2,1,1,44162,GB-CHC-298316,2,GB-CHC-298316;null,1,1
Blue Veins,bveins,0,1,1,0,1,1550,PK-VSWA-2028-2002,1,PK-VSWA-DSW-KhyberPakhtunkhwa-2028,0,
Balloon Ventures Foundation,bvf,1,1,2,1,1,6807,GB-CHC-1141552,1,GB-CHC-1141552,1,1
Instituto BVRio,bvrio,1,0,1,1,0,13153,BR-CNPJ-14.563.354/0001-50,1,BR-CNPJ-14.563.354/0001-50,1,1
Burns Violence Survivors - Nepal,bvs-nepal,1,1,2,1,1,5341,NP-SWC-27288,1,NP-SWC-27288,1,1
Brigham and Women's Hospital,bwh,1,1,2,1,1,9610,US-EIN-042312909,1,US-EIN-042312909,1,1
Business Watch Indonesia,bwi,2,0,1,1,0,65506,ID-DJP-023047012526000,1,ID-DJP-023047012526000,1,1
Bangladesh Youth Leadership Center,bylc,9,1,2,1,1,20853,BD-NAB-2686,1,BD-NAB-2686,1,1
C40 Cities Climate Leadership Group,c40cities,1,0,1,1,0,2897,US-EIN-900634376,1,US-EIN-900634376,1,1
Conservation International Foundation,c_i_f,1,1,2,1,1,3112,US-EIN-52-1497470,1,US-EIN-52-1497470,1,1
CABI,cabi,22,1,12,11,1,605854,XI-IATI-CABI,1,XI-IATI-CABI,1,1
Cadasta Foundation,cadasta,1,1,2,1,1,5605,US-EIN-47-2326975,1,US-EIN-47-2326975,1,1
Comité pour l'abolition des dettes illégitimes,cadtm,4,1,2,1,1,54515,BE-BCE_KBO-0446340550,1,BE-BCE_KBO-0446340550,2,1;2
Conseil et Appui pour l'Education à la Base Mali,caeb_mali,1,1,2,1,1,80352,ML-NIF-084106436R,1,ML-NIF-084106436R,1,null
CAF Banco de Desarrollo de América Latina y el Caribe,caf,385,1,3,2,1,1287536,XM-DAC-46008,1,XM-DAC-46008,1,null
Catholic Agency For Overseas Development (CAFOD),cafod,4015,1,97,96,1,20139482,GB-CHC-285776,1,GB-CHC-285776,1,1
Christian Aid,caid,348,1,2,1,1,1554587,GB-CHC-1105851,1,GB-CHC-1105851,1,null
Christian Aid Ireland,caid_ireland,53,1,2,1,1,381772,IE-CHY-6998,1,IE-CHY-6998,1,null
Crown Agents Limited,cal,7,1,5,4,1,441578,GB-COH-03259922,1,GB-COH-03259922,1,1
Coalition of African Lesbians (CAL),cal_2000-pu,10,0,1,1,0,229510,ZA-NPO-060766,1,ZA-NPO-060766,1,null
Camfed International,camfed,13,0,5,5,0,592625,GB-CHC-1029161,1,GB-CHC-1029161,2,0;null
CANADEM,canadem,15,1,7,6,1,72364,CA_ON-ONT-1597880,1,CA_ON-ONT-1597880,1,1
Canon Collins Trust,canoncollinstrust,1,0,1,1,0,12629,GB-CHC-1102028,1,GB-CHC-1102028,1,1
CLIMATE ACTION PLATFORM - AFRICA,cap-a,1,1,2,1,1,2537,KE-KRA-P052141361L,1,KE-KRA-P052141361L,1,1
CAPABUILD,capabui,11,1,2,1,1,32811,NL-KVK-68758766,1,NL-KVK-68758766,1,1
Carbon Trust Advisory Ltd,carbontrustadvisory,1,2,3,1,2,96922,GB-COH-06274284,1,GB-COH-06274284,1,1
Cardno Emerging Markets,cardnoem,5,1,2,1,1,673708,GB-COH-05543952,1,GB-COH-05543952,1,1
CARE Bangladesh,carebd,1,0,1,1,0,19516,BD-NAB-0004,1,BD-NAB-0004,1,1
CARE BENIN/TOGO,carebenintogo,2,1,2,1,1,267928,BJ-IFU-5201000673108,1,BJ-IFU-5201000673108,1,1
CARE Nederland,carenederland,107,1,2,1,1,2503689,NL-KVK-41158230,1,NL-KVK-41158230,2,1;2
Caribbean Development Bank (CDB),caribank,19,1,2,1,1,63324,XM-DAC-46009,2,XI-IATI-46009;XM-DAC-46009,1,1
Caritas Denmark,caritas_denmark,0,1,1,0,1,533,DK-CVR-29439915,1,DK-CVR-29439915,0,
Caritas Serbia,caritas_serbia,0,0,0,0,0,0,RS-APR-17062603,0,,0,
Caritas Finland,caritasfin,1,1,2,1,1,2151,FI-PRO-139407,1,FI-PRO-139407,1,1
CARPO - Center for Applied Research in Partnership with the Orient,carpo,1,0,1,1,0,6437,DE-CR-RA000220-VR9971,1,DE-CR-VR9971,1,1
The Carter Center,carter-center,1,0,1,1,0,6227,US-EIN-58-1454716,1,US-EIN-58-1454716,1,1
the center for victimized women and children,cavwoc,0,0,0,0,0,0,MW-CNM-C057/1998,0,,0,
Climate Bonds Initiative,cbi,3,0,1,1,0,13270,GB-CHC-1154413,1,GB-CHC-1154413,1,1
The Convention on Business Integrity,cbi-nigeria,0,1,1,0,1,608,NG-CAC-RC481360,1,NG-CAC-RC481360,0,
Christian Blind Mission (UK) Ltd.,cbm,10,1,2,1,1,128165,GB-CHC-1058162,1,GB-CHC-1058162,1,1
HM Revenue and Customs,cbu_hmrc,1,1,2,1,1,3888,GB-GOV-11,1,GB-GOV-11,1,1
Clean Clothes Campaign,ccc,4,1,2,1,1,328595,NL-KVK-41210820,1,NL-KVK-41210820,1,1
Centre For Citizens With Disabilities,ccdnigeria,0,0,0,0,0,0,NG-CAC-IT-23286,0,,0,
CDA Collaborative Learning Projects,cda,4,0,2,2,0,12248,US-IRS-562339052,1,US-IRS-562339052,1,1
CDAC Network,cdacnetwork,4,0,1,1,0,19165,GB-CHC-1178168,1,GB-CHC-1178168,1,1
Centre Diocésain de Communication de Ouahigouya,cdc_ohg,1,1,2,1,1,97979,BF-MATD-RNRD00045-4000004688,1,BF-MATD-RNRD00045,1,null
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,10,1,6,5,1,108562,BE-BCE_KBO-0463455904,1,BE-BCE_KBO-0463455904,2,1;2
Conflict Dynamics International,cdi,2,1,3,2,1,229326,US-EIN-56-2460366,1,US-EIN-56-2460366,1,1
Center for Development and Integration,cdi_vn_2021,1,1,2,1,1,70117,VN-MOST-A399,1,VN-MOST-A399,1,1
CDP Worldwide,cdp,13,1,2,1,1,62246,GB-CHC-1122330,1,GB-CHC-1122330,1,1
Coopération par l'Education et la Culture,cec,7,1,3,2,1,91435,BE-BCE_KBO-0417549465,1,BE-BCE_KBO-0417549465,2,1;2
Center for International Studies and Cooperation,ceci,1,0,1,1,0,4513,CA-CRA_ACR-118846575,1,CA-CRA_ACR-118846575,1,1
Cecily's Fund,cecily,1,1,2,1,1,44997,GB-CHC-1071660,1,GB-CHC-1071660,1,1
Christian Engineers in Development,ced,1,1,2,1,1,10247,GB-CHC-293734,1,GB-CHC-293734,1,1
The Centre for Economic Governance and Accountability in Africa  (CEGAA),cegaa,7,1,2,1,1,68945,ZA-NPO-053-456,1,ZA-NPO-053-456,1,1
Centre for Environment Human Rights and Development,cehrd1,76,0,1,1,0,293251,NG-CAC-19258,1,NG-CAC-19258,1,1
Centre des Etudes Méditerranéennes et Internationales,cemi,3,1,2,1,1,100968,TN-RNE-1027578P,1,TN-RNE-1027578P,1,null
The Conflict and Environment Observatory,ceobs,1,1,2,1,1,5370,GB-CHC-1174115,1,GB-CHC-1174115,1,1
Coalition for Epidemic Preparedness Innovations,cepi,3,0,1,1,0,144915,NO-BRC-917687811,1,NO-BRC-917687811,1,1
Centre for Economic Policy Research,cepr,3,1,2,1,1,2083581,GB-CHC-287287,1,GB-CHC-287287,1,1
United Nations Central Emergency Response Fund (CERF),cerf,9904,1,21,20,1,55609619,XM-OCHA-CERF,1,XM-OCHA-CERF,1,1
Centre for Economic Strategy Ukraine,ces-ua,1,1,2,1,1,7718,UA-EDR-9795443,1,UA-EDR-39795443,1,1
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,1,1,2,1,1,301039,MZ-NUIT-700089584,1,MZ-NUIT-700089584,1,1
Cesvi,cesvi,1,0,1,1,0,1364,IT-CF-95008730160,1,IT-CF-95008730160,1,1
Coöperatief Climate Fund Managers U.A.,cfm,23,0,1,1,0,44982,NL-KVK-64460789,1,NL-KVK-64460789,1,1
CHOICE for Youth and Sexuality,cfyas,16,1,2,1,1,1020956,NL-KVK-32108345,1,NL-KVK-32108345,1,1
CGIAR,cgiar,5934,16,3,2,1,26664768,XM-DAC-47015,1,XM-DAC-47015,1,null
Clinton Health Access Initiative,chai,20,1,2,1,1,221261,US-EIN-27-1414646,1,US-EIN-27-1414646,1,1
Chance for Childhood,chanceforchildhood,9,0,1,1,0,31590,GB-CHC-1013587,1,GB-CHC-1013587,1,1
Chemonics International Inc.,chemonics,3,1,2,1,1,14615,US-EIN-52-2145827,1,US-EIN-52-2145827,1,1
Chemonics Group UK Ltd,chemonics_uk,12,0,1,1,0,335985,GB-COH-14411359,1,GB-COH-14411359,1,1
Child.org,child-dot_org,1,1,2,1,1,12800,GB-CHC-1118528,1,GB-CHC-1118528,1,1
ChildFund International,childfund,1,1,2,1,1,20077,US-EIN-54-0536100,1,US-EIN-54-0536100,1,1
ChildHope UK,childhopeuk,7,1,6,5,1,266858,GB-CHC-328434,1,GB-CHC-328434,1,1
University of Liberal Arts Bangladesh,chpd_ulab,1,1,2,1,1,2387,BD-ROC-S-5933,1,BD-ROC-S-5933,1,null
Association CHS Alliance,chs_alliance,13,0,1,1,0,145203,XI-IATI-CHSA,1,XI-IATI-CHSA,1,1
CARE International Afghanistan,ciafg,2,1,2,1,1,24531,AF-MOE-22,1,AF-MOE-22,1,1
Caritas International (Belgium),cibe,17,1,3,2,1,297447,BE-BCE_KBO-0410644946,1,BE-BCE_KBO-0410644946,2,1;2
Children in Crisis,cic,2,1,2,1,1,62142,GB-CHC-1020488,1,GB-CHC-1020488,1,null
Children in Crossfire,cicni,1,1,2,1,1,5636,GB-NIC-101412,1,GB-NIC-101412,1,1
Centre International de Développement et de Recherche,cidr,1,0,1,1,0,31224,FR-RCS-78049888700022,1,FR-RCS-78049888700022,1,1
Universidad Cientifica del Sur,cientifica-pe,1,1,2,1,1,8201,PE-SUNARP-11582738,1,PE-SUNARP-11582738,1,2
Climate Investment Funds,cif,246,0,53,53,0,772510,47135,2,47134;47135,1,null
CIFAL Scotland,cifal,1,1,2,1,1,22114,GB-SC-037597,1,GB-SC-037597,1,1
Centre for Indian Knowledge Systems,ciks,1,1,2,1,1,281519,ciks,1,ciks,1,1
Center for International Legal Cooperation (CILC),cilc,1,1,2,1,1,13320,NL-KVK-41166983,1,NL-KVK-41166983,1,1
CINI,cini_jhk,0,0,0,0,0,0,IN-MHA-147110006,0,,0,
International Potato Center,cip,1,1,2,1,1,110178,XM-DAC-47021,1,XM-DAC-47021,1,1
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,1,1,2,1,1,6651,BD-NAB-2004,1,BD-NAB-2004,1,1
Centre for Information Resilience,cir,5,1,2,1,1,12878,GB-COH-12675400,1,GB-COH-12675400,1,1
CARE international foundation Switzerland in Sudan,cis,1,1,2,1,1,107669,XM-OCHA-HPC8568,1,XM-OCHA-HPC8568,1,1
Cambridge Institute for Sustainability Leadership,cisl,1,0,1,1,0,4633,ZA-CIP-2011-003386-08,1,ZA-CIP-M2011003386,1,1
CISU,cisu,2931,1,3,2,1,7674344,DK-CVR-19348407,1,DK-CVR-19348407,2,1;null
Centro de Inteligência Territorial,cit_brazil,4,1,2,1,1,13011,BR-CNPJ-30619995-0001-34,1,BR-CNPJ-30619995-0001-34,1,1
CARE International UK,ciuk,357,1,10,9,1,2299217,GB-CHC-292506,1,GB-CHC-292506,2,1;null
Center for Civilians in Conflict,civic_admin,9,1,5,4,1,544739,US-EIN-75-3130860,1,US-EIN-75-3130860,1,1
CIVICUS World Alliance for Citizen Participation,civicus,2,1,2,1,1,88288,ZA-NPO-029-864,1,ZA-NPO-029-864,1,1
CIVIL INITIATIVES FOR DEVELOPMENT AND PEACE INDIA,cividep,2,1,2,1,1,64294,IN-MHA-1070-99-2000,2,IN-MHA-1070-99-2000;IN-MHA-1070/99-2000,1,1
CARE International in Zimbabwe,ciz,1,2,2,1,1,8112,ZW-PVO-15/2003,1,ZW-PVO-15/2003,1,1
Centre for Journalism Innovation and Development,cjid_ng,2,0,1,1,0,10255,NG-CAC-69519,1,NG-CAC-69519,1,1
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,5,1,3,2,1,57204,BE-BCE_KBO-0418399305,1,BE-BCE_KBO-0418399305,2,1;2
Center for Church-Based Development,cku,7,1,2,1,1,39376,DK-CVR-12006004,1,DK-CVR-12006004,1,1
CLASP,clasp,10,1,2,1,1,110605,US-EIN-33-1112770,1,US-EIN-33-1112770,1,1
Centre for Legal Research and Development,clerd-prpi,5,1,2,1,1,22028,NG-CAC-54522,2,NG-CAC-54522;NG-CAC-CAC-IT-NO.54522,1,1
Commonwealth Local Government Forum,clgf_data,1,1,2,1,1,13828,GB-COH-02962250,1,GB-COH-02962250,1,1
ClientEarth,clientearth-1,6,1,2,1,1,96046,GB-COH-02863827,1,GB-COH-02863827,1,1
The Climate Change Organisation,climate-group,1,1,2,1,1,3002,GB-CHC-1102909,1,GB-CHC-1102909,1,1
Red Cross Red Crescent Climate Centre,climate_centre,18,0,1,1,0,195314,NL-KVK-27267681,1,NL-KVK-27267681,1,1
Stichting Nederlands Instituut voor Internationale Betrekkingen 'Clingendael',clingendael,7,1,2,1,1,267329,NL-KVK-41152832,1,NL-KVK-41152832,1,1
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,15,1,6,5,1,166676,BE-BCE_KBO-0421207751,1,BE-BCE_KBO-0421207751,2,1;2
CARE Nepal,cnepal,3,1,2,1,1,69860,NP-IRD-302274734,1,NP-IRD-302274734,1,1
Center for Natural Resource Studies (CNRS),cnrs,1,1,2,1,1,9121,BD-NAB-0841,1,BD-NAB-0841,1,1
Cobra Collective CIC,cobracollective,1,0,1,1,0,5584,GB-COH-10516061,1,GB-COH-10516061,1,1
COC Nederland,cocnl_publisher,19,1,2,1,1,733104,NL-KVK-40530156,1,NL-KVK-40530156,2,1;2
CODA International,coda,1,0,1,1,0,12847,GB-CHC-1000717,1,GB-CHC-1000717,1,1
Corporación de Apoyo a Comunidades Populares,codacop,2,1,2,1,1,42818,CO-RUES-800121811,1,CO-RUE-800121811,1,1
CODEART ASBL,codeart,3,1,2,1,1,29700,BE-BCE_KBO-0434417468,1,BE-BCE_KBO-0434417468,2,1;2
Church of England - The Archbishops' Council,coe-abc,6,1,2,1,1,27840,GB-CHC-1074857,1,GB-CHC-1074857,1,1
Coffey International Development,coffey,71,1,31,30,1,920516,GB-COH-3799145,1,GB-COH-3799145,1,1
City of London Corporation,col-greenfinance,2,0,1,1,0,12438,GB-LAE-LND,1,GB-LAE-LND,1,1
ColaLife,colalife,1,1,2,1,1,19598,GB-CHC-1142516,1,GB-CHC-1142516,1,1
Commune de Comè - Bénin,come,2,1,2,1,1,160968,BJ-IFU-6201000370801,2,BJ-IFU-6201000370801;BJ-IFU-6201300688700,1,null
The Commonwealth Secretariat,commonwealthsecretariat,230,3,9,6,3,41596891,XI-IATI-CWSEC,1,XI-IATI-CWSEC,1,1
Compassion UK,comp_uk,1,1,2,1,1,149722,GB-CHC-1077216,1,GB-CHC-1077216,1,1
Concern Worldwide,concern_worldwide,72,0,1,1,0,213290,IE-CHY-20009090,1,IE-CHY-20009090,1,null
Concern Worldwide UK,concernuk,86,1,2,1,1,802595,GB-CHC-1092236,1,GB-CHC-1092236,1,null
Concordis International,concordis,2,0,1,1,0,28857,GB-COH-04930461,1,GB-COH-04930461,1,1
CONEXIÓN,conexionla,5,1,2,1,1,112981,BO-NIT-351775028,1,BO-NIT-351775028,1,1
Congodorpen vzw,congodorpen,8,1,5,4,1,142149,BE-BCE_KBO-0408256667,1,BE-BCE_KBO-0408256667,2,1;2
Cord,cord,1,1,2,1,1,25503,GB-CHC-1070684,1,GB-CHC-1070684,1,1
Cordaid,cordaid,669,1,5,4,1,23214446,NL-KVK-41160054,1,NL-KVK-41160054,1,1
Consortium of Reproductive Health Associations (CORHA),corha,2,0,1,1,0,119447,ET-CSA-1424,1,ET-CSA-1424,1,1
Corus International,corus,0,1,1,0,1,791,US-EIN-843236198,1,US-EIN-84-3236198,0,
Construction Sector Transparency Initiative (CoST),cost_uk,39,0,1,1,0,86127,GB-COH-8159144,1,GB-COH-8159144,1,1
Cowater International Inc,cowater,8,1,2,1,1,181830,CA-CRA_ACR-101182509,1,CA-CRA_ACR-101182509,1,1
Cowater UK Limited,cowateruk,2,0,1,1,0,44147,GB-COH-11373728,1,GB-COH-11373728,1,1
COWI,cowi,3,1,3,2,1,337139,DK-CVR-44623528,1,DK-CVR-44623528,2,1;null
Centre for Policy Dialogue,cpd,1,1,2,1,1,24553,BD-NAB-0918,1,BD-NAB-0918,1,1
Center for Participation and Development,cpd_2021,6,1,2,1,1,81008,GE-RS-406061513,1,GE-RS-406061513,1,1
Climate Policy Initiative,cpi,5,1,2,1,1,15097,US-EIN-26-4129153,1,US-EIN-26-4129153,1,1
Charity Projects Ltd (Comic Relief),cprojects,384,2,3,1,2,2496222,GB-CHC-326568,1,GB-CHC-326568,1,null
Conciliation Resources,cr,5,1,2,1,1,110113,GB-CHC-1055436,2,GB-CHC-1055436;null,2,1;2
Conciliation Resources Australia,cra,2,1,2,1,1,6079,AU-ABN-94642321640,1,AU-ABN-94642321640,1,null
CRANE,crane,1,1,2,1,1,22705,UG-NGB-5914-9186,1,UG-NGB-5914-9186,1,1
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin,21,1,3,2,1,348201,BE-BCE_KBO-0462132150,1,BE-BCE_KBO-0462132150,2,1;2
Child Rights Coalition Asia,crcasia,6,1,2,1,1,87417,PH-SEC-CN201214699,1,PH-SEC-CN201214699,1,1
CREA,creausa-org,82,5,2,1,1,1594193,US-EIN-31-1812979,1,US-EIN-31-1812979,1,1
Centre for Rights Education and Awareness,creawkenya,1,1,2,1,1,43870,KE-NCB-OP-218-051-9994-1329,1,KE-NCB-OP-218-051-9994-1329,1,1
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,1,1,2,1,1,7663,NP-SWC-1844,1,NP-SWC-1844,1,1
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,1,0,1,1,0,3113,NG-CAC-11660,1,NG-CAC-11660,1,1
International Crisis Group,crisisgroup,4,1,2,1,1,60331,US-EIN-52-5170039,1,US-EIN-52-5170039,1,1
Catholic Relief Services,crs,16,1,2,1,1,420817,US-EIN-13-5563422,1,US-EIN-13-5563422,1,1
Collective for Research and Training on Development Action,crtda,1,0,1,1,0,30403,LB-MOI-3567,1,LB-MOI-3567,1,1
Collectif Stratégies Alimentaires,csa,12,1,3,2,1,165937,BE-BCE_KBO-0448755949,1,BE-BCE_KBO-0448755949,2,1;2
Centre for the Study of Adolescence,csa-kenya,0,0,0,0,0,0,KE-NCB-218/051/96110/823,0,,0,
Consortium for Street Children,csc,2,1,2,1,1,9569,GB-CHC-1046579,1,GB-CHC-1046579,1,1
convention de la société civile ivoirienne,csci_benkadi,1,0,1,1,0,203085,ci-moi-474-mis-dgat-dag-sdva,1,CI-MOI-474-MIS-DGAT-DAG-SDVA,1,null
CARE SOMALIA,csom1,3,1,2,1,1,238102,KE-NCB-218/051/9384/74,1,KE-NCB-218/051/9384/74,1,1
"Conflict, Stability and Security Fund",cssf,0,1,1,0,1,158702,GB-GOV-52,1,GB-GOV-52,0,
CHEKA SANA TANZANIA,cst,1,0,1,1,0,4004,TZ-TRA-121406209,1,TZ-TRA-121-406-209,1,1
Centre Tricontinental - CETRI,ct-admin,9,1,3,2,1,80310,BE-BCE_KBO-0461076236,1,BE-BCE_KBO-0461076236,2,1;2
Carbon Trust (Beijing) Consulting Limited,ctbeijing,1,0,1,1,0,5099,CN-SAIC-9111010506489375XP,1,CN-SAIC-9111010506489375XP,1,1
Child-to-Child,ctc,1,1,2,1,1,23609,GB-CHC-1152010,1,GB-CHC-1152010,1,1
United Purpose,cu,3,1,4,3,1,140185,GB-CHC-272465,1,GB-CHC-272465,1,1
Doctors with Africa CUAMM,cuamm,8,1,2,1,1,67250,IT-CF-00677540288,1,IT-CF-00677540288,1,1
CUAMM Trustees,cuammtrustees,1,1,2,1,1,44600,TN-TIN-102123727,1,TN-TIN-102123727,1,1
Carers Worldwide,cww,1,1,2,1,1,21403,GB-CHC-1150214,1,GB-CHC-1150214,1,1
Cyan International,cyan,6,1,2,1,1,58036,GB-CHC-1129603,1,GB-CHC-1129603,2,0;1
Data4Development,d4d,1,1,2,1,1,11224,NL-KVK-64763064,1,NL-KVK-64763064,1,1
Dorcas Aid International,dai,44,1,2,1,1,624253,NL-KVK-41236410,1,NL-KVK-41236410,1,1
DAI Global UK,dai-e,47,1,2,1,1,4036685,GB-COH-1858644,1,GB-COH-1858644,1,1
Dalberg Catalyst,dalbergcatalyst,1,0,1,1,0,5409,US-EIN-81-2108637,1,US-EIN-81-2108637,1,1
Damiaanactie / Action Damien,damien-foundation,8,1,2,1,1,77829,BE-BCE_KBO-0406694670,1,BE-BCE_KBO-0406694670,2,1;2
dance4life,dance4life,8,1,8,7,1,107993,NL-KVK-34197379,1,NL-KVK-34197379,1,1
Commune de Dangbo - Benin,dangbo,3,1,2,1,1,252915,BJ-IFU-4201710012551,3,BJ-IFU-4201710012551;BJ-IFU-5200801335602;BJ-IFU-6201501755307,1,null
"Denmark - Ministry of Foreign Affairs, Danida",danida,19814,1,8,7,1,218631645,XM-DAC-3-1,1,XM-DAC-3-1,2,1;2
Danish Red Cross,danishrc,48,1,2,1,1,250772,DK-CVR-20700211,1,DK-CVR-20700211,1,1
Danmission,danmission,24,2,3,1,2,72765,DK-CVR-25191501,1,DK-CVR-25191501,1,1
Development Aid from People to People (DAPP) Malawi,dapp,7,0,2,2,0,77505,GPAF-IMP-031,2,MW-CNM-21;dm,1,1
Dawuro Development Association,dawuro_da,1,0,1,1,0,29983,ET-CSA-0976,1,ET-CSA-0976,1,1
Défi Belgique Afrique,dba,8,1,3,2,1,90399,BE-BCE_KBO-0433439550,1,BE-BCE_KBO-0433439550,2,1;2
Digital Campus,dc,1,1,2,1,1,32397,GB-COH-07629751,1,GB-COH-07629751,1,1
DanChurchAid,dca,888,1,2,1,1,3852155,DK-CVR-36980214,1,DK-CVR-36980214,2,1;2
DCAF - Geneva Centre for Security Sector Governance,dcaf,10,1,6,5,1,330010,CH-FDJP-109458452,1,CH-FDJP-109458452,1,1
D. Capital Partners,dcapitalpartners,13,0,1,1,0,45849,GB-COH-07627789,1,GB-COH-07627789,1,1
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,43,1,21,20,1,1093924,NL-KVK-41208813,1,NL-KVK-41208813,2,1;2
"UK - Department for Digital, Culture, Media and Sport",dcms,4,1,2,1,1,60469,GB-GOV-12,1,GB-GOV-12,1,1
DataDrivenFinance Kenya Ltd,ddfkenya,1,1,2,1,1,6192,KE-KRA-P051698850Z,1,KE-KRA-P051698850Z,1,1
Disability and Development Partners,ddp,6,0,2,2,0,162784,GB-CHC-1046001,1,GB-CHC-1046001,1,1
Devidayal Solar Solutions Private Limited,ddsolar,1,0,1,1,0,8416,IN-MCA-U74999MH2015PTC264094,1,IN-MCA-U74999MH2015PTC264094,1,1
Disasters Emergency Committee,dec-uk,13,1,2,1,1,365837,GB-CHC-1062638,1,GB-CHC-1062638,1,1
Development Expertise Center,dec_ethiopia,1,0,1,1,0,96191,ET-CSA-0009,1,ET-CSA-CSA-0009,1,1
DECP,decp,87,1,3,2,1,838177,NL-KVK-27284008,1,NL-KVK-27284008,1,null
DefendDefenders,defenddefenders,8,1,2,1,1,66087,UG-NGO-1406,1,UG-NGO-1406,1,1
"UK - Department for Environment, Food and Rural Affairs",defra_transparency,98,1,2,1,1,1040861,GB-GOV-7,1,GB-GOV-7,1,1
Delivery Associates Ltd,delivery_associates,9,0,5,5,0,12768,GB-COH-08333641,1,GB-COH-08333641,1,1
