name,title,publisher_frequency,publisher_frequency_select,publisher_implementation_schedule,publisher_ui,publisher_field_exclusions,publisher_contact,image_url,display_name,publisher_iati_id,publisher_units,publisher_record_exclusions,publisher_data_quality,publisher_country,publisher_description,publisher_refs,publisher_thresholdspublisher_agencies,publisher_constraints,publisher_organization_type,publisher_segmentation,license_id,state,publisher_timeliness
dfc,United States International Development Finance Corporation,0,quarterly,0,Yes. IATI data are available at foreignassistance.gov,0,"1100 New York Ave. NW Washington, DC 20527",https://www.dfc.gov/sites/default/files/logo.png,0,US-GOV-22,0,"It is the policy of the U.S. Government, per OMB Bulletin 12-01, and the Foreign Aid Transparency and Accountability Act of 2016 (FATAA) for agencies to have a strong presumption in favor of openness. FATAA provides the following principled exceptions: 1) When public disclosure threatens national security interests; 2) When public disclosure is likely to jeopardize the personal safety of U.S. personnel or recipients of U.S. resources; 3) When there are legal constraints on the disclosure of business or proprietary information of non-governmental organizations, contractors, or private sector clients; or 4) When data reveal private information about individuals that must be kept confidential consistent with ethical guidelines and federal regulations. When examining information that falls within these categories, USG agencies have sufficient flexibility to protect sensitive information from disclosure, on a case-by-case basis, in order to protect against potential harm while maintaining a strong presumption in favor of transparency.",0,US,0,"Published budget figures come from the Congressional Budget Justification - a document sent to Congress by the President in January or February of each year, as required by law (31 U.S.C. § 1105), requesting new budget authority for federal programs and estimating federal revenues and outlays for the upcoming fiscal year and 4 subsequent outyears. Although the title of the document is Budget of the U.S. Government, it represents proposals for congressional consideration. There is not a one-to-one link between budget figures and the financial data - commitments and disbursements - for a given year. The Congressional Budget Justification includes sectors specific to the U.S. Government. The budgets have been mapped to the Organisation for Economic Co-operation and Development - Development Assistance Committee (OECD/DAC) sector codes in order to improve international usability.",0,0,10,"Activities are disaggregated into separate files.  Activities that report only one recipient country or region are assigned to a single file under the country or region name.  Similarly, global activities reporting worldwide as the recipient region will be assigned to a worldwide file.  All other activities that report multiple countries and/or regions are assigned to the ‘multi-country’ file.  Currently, worldwide and multi-country files are split out so as to conform to the 40mb file size limit.",cc-zero,active,0
ccr,Community for Children's Rights Limited,0,not_specified,0,0,0,"P.O. Box 11372

Mt. Meru Post Office 

Arusha, Tanzania

Email: info@ccr-tz.org ",0,0,TZ-TRA-131888783,0,0,0,TZ,"CCR's purpose is to equip city councils, schools, community groups and social workers to resolve the moral dilemmas that they face when trying to protect children from violence. CCR conducts research, designs interventions that transform people’s mindsets, builds a community of protectors, equips young people to break cycles of violence, and helps local authorities to govern in the interests of children. ",0,0,0,22,0,notspecified,active,0
aaik,ACTIONAID INTERNATIONAL KENYA,N/A,quarterly,N/A,Data can be visualised on d-portal,ActionAid Kenya reserves the rights to exclude or anonymise information when disclosure may pose security risks to either its staff or the community it serves.,"AACC building, 
Ibium House 2nd Floor
Waiyaki way, Westlands
P.O Box 42814-00100
Nairobi       
Phone: +254 (020) 4440440/4/9; +254 722 518220/ +254 733 333352	
",http://actionaid.org/kenya,0,KE-NCB-OP/218/051/924/84,Each activity represents a project,ActionAid Kenya reserves the rights to exclude or anonymise information when disclosure may pose security risks to either its staff or the community it serves.,Some financial information is subject to change due to verification process.,KE,"A Non-Governmental Organization registered under the NGO Co-ordination Act in the office of the President vide Registration Certificate Number OP.218/051/924/84 dated 11th August 2005 exists to work with people living in poverty and exclusion to eradicate poverty and injustice. 
AAIK is a non-partisan, non-religious development organisation that has been working in Kenya since 1972 and has experience, knowledge and learning working with poor communities to change their lives for good. AAIK is un-apologetic in advancing Women's Rights to ensure that Women Living in Poverty and Exclusion are at the centre of our work and we commit to work with Women, Children and Youth to claim and realize their constitutional rights through working within three main pillars of empowerment, solidarity and campaigning.
",N/A,0,N/A,21,N/A,odc-by,active,N/A
ifdc-us,International Fertilizer Development Center,"Quarterly, Semi Annual, Annual ",annually,0,0,0,"IFDC Headquarters
P.O. Box 2040
Muscle Shoals, Alabama 35662 U.S.A.
Tel: +1 (256) 381-6600 Fax: +1 (256) 381-7408",0,0,US-EIN-63-0676451,Projects and sub-projects,0,0,US,"Latha Nagarajan IFDC_MELS Head
Will for see the contents being loaded by various activities in the organization besides coordinating the submission of donor funded activities on time for accountability. 

",0,0,0,21,Yes for each activity or project at the country level or regional,odc-pddl,active,0
coe-abc,Church of England - The Archbishops' Council,0,quarterly,0,0,0,"Church House
Great Smith Street
London 
SW1P 3AZ",0,0,GB-CHC-1074857,0,0,0,GB,"Leadership, strategy and executive responsibility of the Church of England. Co-ordinates, promotes, aids and furthers the work and mission of the Church of England by providing national support to the Church in dioceses and locally, working closely with the House of Bishops and other bodies of the Church.",0,0,0,80,0,other-at,active,0
d-rev,D-Rev,0,not_specified,0,0,0,"695 Minnesota Street, San Francisco, CA 94107",https://scontent-sjc3-1.xx.fbcdn.net/v/t1.0-9/541786_306393352760869_1587567171_n.jpg?_nc_cat=103&_nc_ht=scontent-sjc3-1.xx&oh=01bcedcbf2d12c70cf21dec51994cd49&oe=5CA5444D,0,US-EIN-26-0642778,0,0,0,US,0,0,0,0,21,0,odc-by,active,0
stichtingfern,Stichting Fern,0,not_specified,0,0,0,"Fern
Nieuwelaan 9
2611 RR Delft
Netherlands",https://www.google.com/imgres?imgurl=https%3A%2F%2Fwww.fern.org%2Fassets%2Ffern%2Fimg%2Flogo_print.png&imgrefurl=https%3A%2F%2Fwww.fern.org%2F&tbnid=A-0eCl33cWgweM&vet=12ahUKEwjtqImTgMroAhUBQhoKHTGcAw4QMygAegUIARDPAQ..i&docid=bjzJ1K2WiFeDKM&w=600&h=421&q=fern%20ngo%20logo&ved=2ahUKEwjtqImTgMroAhUBQhoKHTGcAw4QMygAegUIARDPAQ,0,NL-KVK-41169658,0,0,0,NL,"Fern seeks a world in which environmental, social and economic justice is fully integrated at all levels and people have a voice in decisions affecting their lives and livelihoods.

Fern’s mission is to achieve greater environmental and social justice, focusing on forests and forest peoples’ rights in the policies and practices of the European Union.

In striving to achieve its mission, Fern aims to be: collaborative, evidence-based, independent, challenging and inclusive.",0,0,0,21,0,other-open,active,0
wipc,Women's International Peace Centre,0,quarterly,0,0,0,"Plot 1 Martyrs Garden B Road, Ministers Village, Ntinda, Kampala, Uganda
P. O. Box 4934 Kampala, Uganda
Tel: +256414698684
program@wipc.org
www.wipc.org",https://drive.google.com/file/d/1zq3p2TqMZibyCHQVjQYBpWPKSVcRNT-n/view?usp=sharing,0,UG-NGO-2292,Projects,0,0,UG,"Certificate of registration: https://drive.google.com/open?id=1sFfCA5XGARPF2J_djfD48DYP7Wm0bqrx

WIPC is a feminist organisation with a mission to ignite women’s leadership, amplify their voices and deepen their activism in re-creating peace. Founded in 1974, WIPC works with partners in conflict and post-conflict contexts across Africa and in Asia, using our homegrown WEAVE model to catalyze women’s power for peace by integrating research, documentation, holistic healing, skills and movement building as well as advocacy. ",0,0,0,21,Separate files per country,odc-by,active,Within the month
extrac,ExTrac AI Limited,0,not_specified,0,0,0,"27 Old Gloucester Street, London, England, WC1N 3AX",https://www.extrac.ai/,0,GB-COH-14532778,0,0,0,GB,Software publisher,0,0,0,70,0,other-pd,active,0
solidaridad-waf,Solidaridad West Africa,"Occasionally, IATI datasets will be published in between quarters when significant amounts of data have been added or updated in Solidaridad Plaza. ",quarterly,0,"Initially, the Solidaridad IATI Activity Files will be published in the IATI .xml format only. Together with other IATI publishers Solidaridad will explore options and possibilities for developing and or joining the development of more comprehensive and user-friendly interfaces for online publishing.",n/a,"Hse. No. 18 Okine Street East Legon, Accra -GHANA PMB KD 11, Kanda, Accra, Ghana",http://www.solidaridadnetwork.org/sites/solidaridadnetwork.org/themes/solidaridad_network/logo.png,0,GH-DSW-5574,"Activities are defined as either a project or a (major) grant contract. Within the Solidaridad Network each project is funded by one or more grant contracts. Each project and each grant contract is owned by one of the nine Solidaridad Regional Expertise Centres (RECs). This REC is accountable for the project or grant contract and thus includes it in its IATI dataset. Incoming grant contracts are allocated to projects. Outgoing funds (expenditures) are always part of a project. Both grant contracts and projects, and all the interactions between and among them are published in the IATI datasets of the four Solidaridad publishers.  ",The Solidaridad IATI Activity Files currently only include those activities (projects and grant contracts) funded or co-funded by the Dutch Ministry of Foreign Affairs (MinBuZa/DGIS).,Internal review and approval flows apply to the data of each and every project and grant contract in Solidaridad's cloud-based information system called Solidaridad Plaza. Internal (financial) control and reporting at Solidaridad Network level are conducted on a quarterly basis and external audits of all nine Solidaridad Regional Expertise Centres on an annual basis. ,GH,"Solidaridad is an international civil society organization with more than 45 years of global experience in facilitating the development of socially responsible, ecologically sound and profitable supply chains. Solidaridad works across 13 supply chains and operates through 9 regional offices on 5 continents.

Ensuring quality of life and a healthy planet for all of us requires continuous effort and mutual cooperation from all parties involved. It also means creating products and processes along supply chains that will help us transition towards a fully inclusive, sustainable economy.

There are many values, interests and agendas at play in this transition. And sometimes they conflict. Yet our experience has shown that by connecting, partnering and collaborating with all players, it is possible to reconcile social and ecological responsibilities with supply chain and market realities.

To do that, Solidaridad pioneers innovative certification schemes, establishes producer education programmes, supports good business practices, shapes national and international policy, creates new market linkages, builds knowledge-based commodity solutions and more.

Investing in structural change – like safeguarding food security, strengthening acceptable labour conditions and a living wage, creating infrastructures for responsible mining, and facilitating access to investment – is the only way to sustain positive impact on the health and livelihoods of people and the planet not just for today, but well into the future.",n/a,0,0,21,"No, the IATI data are not segmented by country or region. There are four separate Solidaridad IATI publishers.",cc-by,active,"The Solidaridad Network works with a live cloud-based (Salesforce.com) network-wide information system called Solidaridad Plaza. In Solidaridad Plaza all nine Regional Expertise Centres (REC) of the Solidaridad Network plan, manage, and monitor their sustainable development programmes, both financially and programmatically. On a quarterly basis, the IATI datasets are gleaned from the live Solidaridad Plaza database for each of the nine RECs and published to the IATI website. While the data on Solidaridad Plaza is live, internal (financial) control and reporting at Solidaridad Network level are conducted on a quarterly basis. Thus, toward the end of each quarter, each REC ensures their data in Solidaridad Plaza are up to date and reports to the Solidaridad Network Secretariat as well as to the other RECs. This is also when the IATI datasets are published. "
72728,pubname162,0,not_specified,0,0,0,0,0,0,AE-ADCD-64747,0,0,0,0,0,0,0,0,21,0,gfdl,active,0
st_vluchteling,Stichting Vluchteling,0,quarterly,0,N/A,Not yet known.,"WimStellingwerf@vluchteling.org 
tel.: +3170 346 89 46",https://www.vluchteling.nl/~/media/IBAN/SV_Logo2015_FC.ashx ,0,NL-KVK-41149486,"In general, Stichting Vluchteling's humanitarian activities are arranged and managed as seperate projects. Regarding the IATI data, the activities will follow this project structure.","Stichting Vluchteling has a policy of not openly ublishing data and information on projects on certain activities in certain countries/regions that may create security problems for beneficiaries, implementers or other stakeholder. Projects where this might be the case will consequently not be part of the IATI dataset.",The data will be published based on grant proposals and budgets and further on the reporting of the implementing agencies. The quality of this data is verified as described in the internal quality system. The financial data will only be final once the final reporting is audited by an external auditor.,NL,Stichting Vluchteling is a Dutch foundation raising funds to be used for humanitarian activities benefitting refugees all over the world. ,N/A,0,0,21,"The data will be published as a whole, no segmentation.",cc-by-sa,active,The data will be published less han 3 months after the data is internally available.
interpeace,Interpeace,0,not_specified,0,0,0,"2e Chemin Eugene-Rigot,
1202 Geneva,
Switzerland",0,0,CH-FDJP-CHE109994012,0,0,0,CH,0,0,0,0,21,0,notspecified,active,0
bsf1,Bibliothèques Sans Frontières,0,not_specified,0,0,0,"8 rue de Valmy, 93100 Montreuil, France",0,0,FR-RCS-49962201700014,0,0,0,FR,0,0,0,0,21,0,cc-by-sa,active,0
wcia,Welsh Centre for International Affairs,0,quarterly,n/a,0,0,"Temple of Peace
King Edward VII Avenue
Cathays Park
Cardiff
CF10 3AP",https://www.wcia.org.uk/wp-content/themes/ace-wcia/images/wcia_transparent.png,0,GB-CHC-1156822,One activity = one project,0,0,GB,We inspire people to learn and act on global issues so everyone in Wales can contribute to creating a fairer and more peaceful world.,0,0,0,22,0,odc-pddl,active,3 months
g3w-m3m_admin,Viva Salud,0,annually,0,0,0,"chaussée de Haecht 53
1210 Brussels
Belgium",0,0,BE-BCE_KBO-0418282311,0,0,0,BE,0,0,0,0,22,0,notspecified,active,0
stromme_ug,Stromme Foundation,0,quarterly,0,N/A,N/A,"STROMME FOUNDATION
Plot 25, Bukoto Street, P. O. Box 27200 Kampala, Uganda",0,0,XI-IATI-5914-1107,Project,N/A,Internally Audited,UG,"Stromme Foundation in addition to providing co-funding has a role in training local partners, developing of concept and grant administration. Skills building for empowernment and self reliance among out of scholl adolescent girls is the activity.
",N/A,0,0,22,0,odc-by,active,Quarterly in arrears
ran,Rainforest Action Network,0,not_specified,0,0,0,"425 Bush Street, Suite 300
San Francisco, CA 94108",0,0,US-EIN-94-3045180,0,0,0,US,0,0,0,0,21,0,odc-by,active,0
msi,MSI Reproductive Choices,Quarterly ,quarterly,0,No,0,0,0,0,GB-COH-1102208,Projects and programmes,"IATI publication exclusion policy, available at:

https://mariestopes.org/media/3458/msi-iati-exclusion-policy.pdf
",0,GB,0,0,0,0,21,"Single Activity file, unsegmented",cc-by-sa,active,0
sfcg,Search for Common Ground (SFCG),"We work with donors that require different types of reporting schedules, from monthly over quarterly to at the mid-term of a project and the end of a project. Internally we require ...",annually,0,We do not currently have an interface on our website that holds the IATI data as this will be the first time reporting to IATI. We will develop this once we have published our dataset and start reporting through IATI,0,"Rue Belliard 205 bte 13, B-1040, Brussels, Belgium",0,0,BE-BCE_KBO-0453975341,Each country programmes is made up of different projects through different donors. We follow the reporting requirements of each donor for the activities that are part of that specific project.,"Risk, safety measures",Every project we implement is evaluated and audited. ,BE,"Conflict and differences are inevitable. Violence is not.
We partner with people around the world to ignite shared solutions to destructive conflicts.
We work at all levels of society to build sustainable peace through three main avenues:
Dialogue+, Media+, and Community+.",0,0,0,21,"Yes, the data is published per country for specific country project that require IATI reporting",cc-by-sa,active,This will depend on the donor requirements. 
iza,Forschungsinstitut zur Zukunft der Arbeit GmbH (IZA),0,not_specified,0,0,0,0,0,0,DE-CR-RA000220-HRB7745,0,0,0,DE,0,0,0,0,80,0,odc-by,active,0
bmvssjprjaipurfoot,Shree Bhagwan Mahaveer Viklang Sahayata Samiti ( Jaipur Foot ),0,not_specified,0,0,0,"Shree Bhagwan Mahaveer Viklang Sahayata Samiti, Jaipur
13-A, Gurunanak Path, Malviya Nagar, Jaipur, - 302017, Rajasthan (India)",https://www.google.com/search?q=jaipurfoot+logo&rlz=1C1RXQR_enIN1016IN1016&oq=jaipurfoot+logo&aqs=chrome..69i57j0i10i512j69i60.1211525528j0j15&sourceid=chrome&ie=UTF-8#vhid=UAxpSBbiGi80iM&vssid=l,0,IN-MCA-CSR00001480,0,0,0,IN,"Shree Bhagwan Mahaveer Viklang Sahayata Samiti (BMVSS), Jaipur, an NGO, was registered as a Society, under Rajasthan Societies Registration Act 261/1974-75 on March 29, 1975. The main objective of BMVSS is physical, economic and social rehabilitation of the disabled, so that they regain their mobility and dignity, there by making them normal, self-respecting and productive members of the society.",0,0,0,21,0,other-open,active,0
awa_sn,Amref health Africa in Senegal,0,six_monthly,0,0,0,"63 , Cité Africa , Ouakam

 BP 16533 Dakar- Sénégal

Tel (D): +221 33 8606008 ",0,0,SN-NINEA-004487121,0,0,0,SN,0,0,0,0,21,0,odc-by,active,0
djapo,Djapo,0,not_specified,0,0,0,"Ortolanenstraat 6, 3010 Kessel-Lo, Belgium",0,0,BE-BCE_KBO-0408022778,0,0,0,BE,Director,0,0,0,22,0,other-open,active,0
kivu,Kivu International,0,not_specified,0,0,0,"1a Abbey Road, Oxford, England, OX2 0AD",0,0,GB-COH-09471824,0,0,0,GB,0,0,0,0,70,0,cc-by,active,0
draf,Disability Rights Advocacy Fund,0,six_monthly,0,0,0,"89 South Street, Suite 203B, Boston, MA 02111",0,0,US-EIN-27-5026463,0,0,0,US,0,0,0,0,21,0,notspecified,active,0
cug,Coventry University,0,not_specified,0,0,0,0,0,0,GB-UKPRN-10001726,0,0,0,GB,0,0,0,0,80,0,cc-by,active,0
irise_int,Irise International,0,not_specified,0,0,0,"21 Leyburn Road
Sheffield
S8 0XA
UK",http://www.irise.org.uk/uploads/5/0/8/8/50885905/5581629.png,0,GB-CHC-1157722,0,0,0,GB,Irise International works to support the education and empowerment of marginalised women and girls in East Africa an the UK,0,0,0,21,0,notspecified,active,0
ruhsa-cmc,CHRISTIAN MEDICAL COLLEGE,0,not_specified,0,0,0,"RUHSA DEPARTMENT, CHRISTIAN MEDICAL COLLEGE, VELLORE, TAMIL NADU, INDIA. ",0,0,IN-MHA-075980003,Research Projects,0,0,IN,0,0,0,0,80,0,odc-pddl,active,0
afrikagrupperna,Afrikagrupperna Sweden,0,not_specified,0,0,0,0,http://u0908412.fsdata.se/wp-content/uploads/2014/09/logo-afrikagr.png,0,SE-ON-802007-2446,0,0,0,SE,"Africa groups of Sweden is a non profit, non political- and religious solidarity organization with approximately 2,400 members with a vision of a fair world. ",0,0,0,21,0,notspecified,active,0
unodc_col,UNODC - United Nation Office on Drugs and Crime,0,not_specified,0,0,0,Colombia,0,0,XM-DAC-41128,0,0,0,GB,"La Oficina de las Naciones Unidas contra la Droga y el Delito (UNODC) trabaja con los Estados y la sociedad civil para prevenir que las drogas y el delito amenacen la seguridad, la paz y las oportunidades de desarrollo de los ciudadanos. Fomentando la actualización de mejores prácticas internacionales, los aportes consisten en:

1. Generar conocimiento sobre la naturaleza, el alcance y las tendencias de la problemática de las drogas y el delito; 
2. Apoyar la implementación de las convenciones internacionales sobre la materia; 
3. Orientar políticas y estrategias nacionales de lucha contra las drogas y el delito; 
4. Desarrollar capacidades nacionales para enfrentar y prevenir la producción, el tráfico, el abuso de drogas y otras manifestaciones del crimen organizado.

Con el fin de alcanzar sus objetivos, UNODC desarrolla una amplia gama de iniciativas, incluidos proyectos de desarrollo alternativo, la vigilancia de cultivos ilícitos y programas de lucha contra el lavado de dinero.

UNODC también trabaja para mejorar la prevención del delito y prestar asistencia para la reforma de la justicia penal en diferentes países. La Oficina colabora con los Estados miembros para fortalecer el imperio de la ley, promover sistemas de justicia penal estables y viables y combatir las crecientes amenazas de la delincuencia organizada transnacional y la corrupción.

UNODC tiene oficinas nacionales y regionales en 21 localidades de todo el mundo, que abarcan más de 150 países.",0,0,0,21,0,uk-ogl,active,0
dspd_unikin,University of Kinshasa,0,not_specified,0,0,0,"Avenue de l'université
BP 127
Kinshsasa XI
DRC
",0,0,XI-GRID-grid.9783.5,0,0,0,CD,0,0,0,0,80,0,other-open,active,0
sidcn,Small International Development Charities Network,0,not_specified,0,0,0,"75 Shoveller Drive, Apley, Telford, Shropshire. TF1 6GQ. UK",https://www.sidcn.org/,0,GB-CHC-1191805,0,0,0,GB,"SIDCN started in 2016 as an online collective through Facebook. Now grown to a community of over 2,000 members, SIDCN’s aim is to amplify the voices of small international development charities building on the Network’s mutual support approach. We connect, strengthen and champion small charities internationally so they are better able to support the   communities they serve.",0,0,0,22,0,odc-by,active,0
rem,Resource Extraction Monitoring,Quarterly.  ,0,0,It will be available through out website as a link to the IATI registry.,N/A,"Resource Extraction Monitoring, mail.at.rem.org.uk.

Please note that although the data published through IATI is free to use under the OKD Licence, provided REM is credited, all attached or linked-to documents are copyrighted and cannot be used without REM's authorisation.  Please contact us if you require this.",http://www.aidstream.org/uploads/image/REM_logo-black.jpg,0,GB-COH-4905100,"Activity is defined by project, and this is how we shall publish.",We would not publish anything that would cause a threat to staff security.,"All data published is verified by organisation's financial and project management, and approved by funders as contents of narrative and/or financial reports, before publishing. ",GB,Independent Monitor of the extraction of natural resources.,www.rem.org.uk is the main website for our organisation. ,0,N/A,21,"IATI data is published by project, which is usually based in one particular country or region, however this is not guaranteed.  ",other-at,active,"Data will be published once it has been approved by the organisation and our funders.  This is dependent on reporting requirements, which differs between projects.  The minimum reporting requirement we have is on an annual basis.  Information will be updated on the next publication date."
seco-ong-mali,Secrétariat de Concertation des Organisations Non Gouvernementales Maliennes,"En fonction des type de données, elles seront publiées une ou deux fois par année",six_monthly,0,Les données seront visibles sur le site web actuel de SECO - ONG. Nous somme aussi entrain de faire la mise à jour du site qui permettra de publier essentiellement toutes les informations sur le projet Benkadi. Cette mise à jour sera effective à partir du mois d'avril 2022.,0,"Hamdallaye ACI 2000 – Rue 427 - Porte n° 200
Tél : (223) 20 29 30 41/ 76 02 01 23 / 66 99 37 37 – BP : 3264
Site : www.secoong.net ; Email : secoong@orangemali.net",https://www.facebook.com/secoong/photos/a.2122560367785498/2122570224451179/,0,ML-MAT-028-MAT-DNIC-DAG,"Nous avons des programmes, des projets et sous projets au sein de SECO-ONG. 
Nous commencerons par la publication des données du projet Benkadi-SECO-ONG Mali qui est une partie du programme régional Benkadi-Régional (Benin, Burkina Faso, Côte d'Ivoire, Mali)","l'analyse de nos activités sont faites selon le plan de travail et de budget annuel validé par les
différentes instances. Si une activité en fait partie, il n'y pas de problème dans sa mise en oeuvre.","Les données sont validées après les processus de vérification et de certification. Nous avons des
séances régulières de suivi, vérification, évaluation et apprentissage des activités. Nous disposons
d'un dispositif de suivi évaluation pour se rassurer de la viabilité des données technique et financière,
il y a aussi des audits financiers qui se tiennent pour certifier la gestion financière.",ML,"1. Création
La  décision de création du SECO-ONG par des responsables d’ONG nationales est intervenue donc dans un contexte caractérisé par: 
-	La nécessité de créer un espace privilégié de contacts et d'échanges entre les ONG nationales en vue de trouver des solutions durables à leurs problèmes spécifiques;
-	La volonté des ONG maliennes d'animer un espace de réflexion et de positionnement sur les problèmes de la nation. Et les grands défis à relever;
-	Le besoin de créer un cadre de solidarité agissante, de coordination et d'harmonisation des actions et des points de vue à faire valoir, de négociation de plaidoyer et de lobbying pour l'adoption de mesures favorables à l'épanouissement des ONG.
Le collectif a été agréé le 03 avril 1989 par le récépissé N° 028/MAT-DNIC-DAG  et a signé avec le gouvernement malien l’Accord Cadre N° 01244 du 06 Juin 2000 remplacé en 2008 par le N°0412/001244 du 25 Mars 2008.

2.   Membership :
 Actuellement  le collectif compte 120 adhésions dont 56 ONG nationales membres actifs et 30 Associations, Organisations  de Base partenaires.

 3. Vision :
 « Le SECO-ONG rêve d’une société de démocratie et de justice où les questions environnementales vécues aujourd’hui n’existent plus, où les populations (hommes et femmes) et les organisations de la société civile jouent pleinement et de manière complémentaire leur rôle de contrepouvoir à l’action public au niveau local et national, et où la pauvreté est réduite ».  

  4. Missions : 

-	Assurer une présence active de la société civile dans les prises de décision publiques au niveau national à travers une définition de politiques et de stratégies de développement,

-	Améliorer la capacité d’influence et de pression de la société civile à travers l’interpellation des décideurs et le lobbying auprès des pouvoirs publics sur toutes les questions de développement posées,

-	Participer à la mise en œuvre effective des programmes sectoriels et orientations nationales (Décentralisation, OMD et CSCRP) de développement et des orientations internationales de développement (NEPAD en particulier) à travers une participation active dans la conception, la mise en œuvre et le suivi évaluation du CSCRP,

-	Contribuer à réduire la pauvreté à travers notamment les actions de terrain de ses ONG membres conçues et mises en œuvre dans le respect du CSCRP,

-	Participer à la recherche de solutions aux questions environnementales à travers un suivi constant de l’application des conventions internationales signées par le Mali sur l’environnement et, l’amélioration de l’accès aux fonds aux ONG membres.

5. Les Axes d’intervention :
Les principaux axes d’intervention du collectif sont :
- L’environnement 
- La sécurité Alimentaire :
- Action humanitaire
- La gouvernance/Décentralisation : 
- Education de base :
- Paix et la cohésion sociale.

6. Les Activités principales:

Pour la réalisation des objectifs assignés, le SECO-ONG/MALI mène plusieurs interventions dont :
-	La collecte, la diffusion de l’information utile pour les ONG, les Associations de base, l’Etat, les partenaires de développement du Mali ;
-	L’organisation de sessions de formation ciblées sur les besoins des ONG, des Associations de base ;
-	La facilitation des échanges d’expériences à travers des séminaires, colloques entre ONG maliennes africaines et internationales ;
-	Le soutien aux actions des ONG maliennes et groupements de base dans les mobilisations des ressources intérieures et extérieures ;
-	La négociation et le pilotage/gestion de programmes/projets en faveur des membres ;
-	Le plaidoyer/lobbying sur des thématiques diverses ;
-	La représentation des ONG maliennes auprès de l’Etat et des partenaires au développement ;
-	La participation aux activités d’analyse, de réflexion, d’élaboration de mise en œuvre et de suivi de projets/programmes nationaux et des politiques de développement.
",https://secoong.org/,0,Non,22,"Les données seront publié par pays, pour le MALI",cc-by,active,Les données seront publiées au plus tard 3 mois après leur validation interne
wv_cf,World Vision Central African Republic,0,not_specified,0,0,0,"800 W Chestnut Ave, Monrovia, CA 91016, USA",0,0,XM-OCHA-7482,0,0,0,CF,"World Vision is a global Christian relief, development and advocacy organization dedicated to working with children, families and communities to overcome poverty and injustice. World Vision is dedicated to working with the world’s most vulnerable people and serves all people, regardless of religion, race, ethnicity or gender. ",0,0,0,21,0,odc-pddl,active,0
iwda,International Women's Development Agency,0,quarterly,0,Available through the public IATI site. We are yet to confirm process on our own website. ,Not known at this time.,"Suzi Chinnery, Senior Program Manager
schinnery@iwda.org.au",0,0,AU-ACNC-19242959685,One programme with multiple implementing partners,Not known at this time.,"Operational data, subject to change, anticipating that changes would be updated with each quarterly upload",AU,"IWDA is the leading Australian agency entirely focussed on women’s rights and gender equality in the Asia Pacific region. We are international, feminist and independent.

OUR VISION

IWDA’s vision is for a world where every woman and man, girl and boy has equal rights and opportunities.

OUR MISSION

IWDA partners with others in the Asia Pacific region to advance women’s human rights. We stand up for women and girls by tackling issues of power, money and security.",We are using the AidStream system to publish data,0,Not known at this time.,21,Country and Region are possible,notspecified,active,Ideally quarterly with some potential for lags
ces-ua,Centre for Economic Strategy Ukraine,0,not_specified,0,0,0,"Saksahanskoho Str. 36D, Kyiv, 01033, Ukraine
",https://drive.google.com/file/d/1mac3S-GQ53LxXy9ulk0MrkyIrjL0Hh_2/view?usp=sharing,0,UA-EDR-9795443,0,0,0,UA,"CES is an independent non-governmental economic policy think tank. Our mission is to promote economic policies that help Ukraine achieve sustainable and inclusive economic growth. CES combines research, policy recommendations, and advocacy of institutional changes through open dialogue with the government, business and civil society. ",0,0,0,22,0,cc-by,active,0
ama-south-sudan,Assistance Mission for Africa,0,not_specified,0,0,0,"Plot 165, Juba Na’Bari,   
Block 3K South,
Juba, South Sudan",0,0,SS-RRC-465,0,0,0,SS,0,0,0,0,22,0,odc-pddl,active,0
globalwitness,Global Witness,0,quarterly,0,Not at this time.,0,"Global Witness 
Green House,
244-254 Cambridge Heath Road,
London E2 9DA",0,0,GB-COH-02871809,An activity is defined as a programme. We will publish data at the programme level.,0,Our data is unaudited but subject to internal verification.,GB,"Global Witness challenges abuses of power to protect human rights and secure the future of our planet.

Our goal is a more sustainable, just and equal planet. We want climate-critical forests and biodiversity to thrive and fossil fuels to stay in the ground. We want corporations to respect the planet and human rights, governments to protect and listen to their citizens, and the online world to be free from misinformation and hate.",0,0,0,21,IATI data is not specified per country or region due to the nature of our work.,cc-by-sa,active,We will publish quarterly income and expenditure data within one month of the end of each quarter.
ucb,Université Catholique de Bukavu,0,not_specified,0,0,0,"02 Avenue de la mission, Bugabo (Kadutu), Bukavu,DR Congo",https://ucbukavu.ac.cd/,0,XI-GRID-grid.442834.d,0,0,0,CD,0,0,0,0,80,0,cc-by,active,0
ewf,Earthworm Foundation,0,quarterly,0,0,0,"Chemin de Chantavril 2, 1260 Nyon, Switzerland",0,0,CH-FDJP-CHE251665168,0,0,0,CH,"Earthworm Foundation is an international non-profit driven by the desire to positively impact the relationship between people and nature.  With most of our staff working directly on the ground where the issues are.  We work with companies, civil and society and local government to make value chains an engine to drive positive, economic, environmental and social impact.   ",0,0,0,21,0,other-at,active,0
britishcouncil,British Council,0,not_specified,0,0,0,0,0,0,GB-CHC-209131,0,0,0,GB,0,0,0,0,15,0,notspecified,active,0
allada,Commune de Allada - Bénin,0,not_specified,0,0,0,0,0,0,BJ-IFU-6201501755307,0,0,0,BJ,0,0,0,0,15,0,odc-by,active,0
