Publisher Name,Publisher Registry Id,Publisher Type,Number of Activities,Publishing Humanitarian,Using Humanitarian Attribute,Appeal or Emergency Details,Clusters,Humanitarian Score
Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,promsex,Regional NGO,0,0,0.0,0.0,0.0,0.0
Cesvi,cesvi,International NGO,0,0,0.0,0.0,0.0,0.0
CGIAR,cgiar,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),umati,National NGO,0,0,0.0,0.0,0.0,0.0
Chance for Childhood,chanceforchildhood,International NGO,0,0,0.0,0.0,0.0,0.0
Charity Projects Ltd (Comic Relief),cprojects,Foundation,384,100,100.0,0.0,0.0,50.0
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,National NGO,0,0,0.0,0.0,0.0,0.0
CHEKA SANA TANZANIA,cst,National NGO,0,0,0.0,0.0,0.0,0.0
Chemonics Group UK Ltd,chemonics_uk,Private Sector,0,0,0.0,0.0,0.0,0.0
Chemonics International Inc.,chemonics,Private Sector,0,0,0.0,0.0,0.0,0.0
Child Rights Coalition Asia,crcasia,Regional NGO,0,0,0.0,0.0,0.0,0.0
Child-to-Child,ctc,International NGO,0,0,0.0,0.0,0.0,0.0
Child.org,child-dot_org,International NGO,0,0,0.0,0.0,0.0,0.0
ChildFund International,childfund,International NGO,0,0,0.0,0.0,0.0,0.0
ChildHope UK,childhopeuk,International NGO,0,0,0.0,0.0,0.0,0.0
Children in Crisis,cic,International NGO,0,0,0.0,0.0,0.0,0.0
Children in Crossfire,cicni,International NGO,0,0,0.0,0.0,0.0,0.0
CHOICE for Youth and Sexuality,cfyas,International NGO,0,0,0.0,0.0,0.0,0.0
Christian Aid,caid,International NGO,37,100,89.1891891891892,0.0,0.0,47.2972972972973
Christian Aid Ireland,caid_ireland,International NGO,2,100,50.0,0.0,0.0,37.5
Christian Blind Mission (UK) Ltd.,cbm,International NGO,5,100,100.0,0.0,0.0,50.0
Christian Engineers in Development,ced,International NGO,0,0,0.0,0.0,0.0,0.0
Church of England - The Archbishops' Council,coe-abc,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
CIFAL Scotland,cifal,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
CINI,cini_jhk,National NGO,0,0,0.0,0.0,0.0,0.0
CISU,cisu,National NGO,0,0,0.0,0.0,0.0,0.0
City of London Corporation,col-greenfinance,Other Public Sector,0,0,0.0,0.0,0.0,0.0
CIVICUS World Alliance for Citizen Participation,civicus,International NGO,2,100,100.0,0.0,0.0,50.0
CIVIL INITIATIVES FOR DEVELOPMENT AND PEACE INDIA,cividep,National NGO,0,0,0.0,0.0,0.0,0.0
CLASP,clasp,International NGO,0,0,0.0,0.0,0.0,0.0
Clean Clothes Campaign,ccc,International NGO,0,0,0.0,0.0,0.0,0.0
ClientEarth,clientearth-1,International NGO,0,0,0.0,0.0,0.0,0.0
CLIMATE ACTION PLATFORM - AFRICA,cap-a,National NGO,0,0,0.0,0.0,0.0,0.0
Climate Bonds Initiative,cbi,International NGO,0,0,0.0,0.0,0.0,0.0
Climate Investment Funds,cif,Multilateral,0,0,0.0,0.0,0.0,0.0
Climate Policy Initiative,cpi,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Clinton Health Access Initiative,chai,International NGO,20,100,100.0,0.0,0.0,50.0
CNV Internationaal,nl-kvk-54436222-27541,National NGO,0,0,0.0,0.0,0.0,0.0
Coalition for Epidemic Preparedness Innovations,cepi,International NGO,0,0,0.0,0.0,0.0,0.0
Coalition of African Lesbians (CAL),cal_2000-pu,International NGO,0,0,0.0,0.0,0.0,0.0
Cobra Collective CIC,cobracollective,International NGO,0,0,0.0,0.0,0.0,0.0
COC Nederland,cocnl_publisher,National NGO,0,0,0.0,0.0,0.0,0.0
CODA International,coda,International NGO,0,0,0.0,0.0,0.0,0.0
CODEART ASBL,codeart,National NGO,0,0,0.0,0.0,0.0,0.0
Coffey International Development,coffey,Private Sector,0,0,0.0,0.0,0.0,0.0
ColaLife,colalife,National NGO,0,0,0.0,0.0,0.0,0.0
Collectif Stratégies Alimentaires,csa,National NGO,0,0,0.0,0.0,0.0,0.0
Collective for Research and Training on Development Action,crtda,National NGO,0,0,0.0,0.0,0.0,0.0
Comité pour l'abolition des dettes illégitimes,cadtm,National NGO,0,0,0.0,0.0,0.0,0.0
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,National NGO,0,0,0.0,0.0,0.0,0.0
Commonwealth Local Government Forum,clgf_data,International NGO,0,0,0.0,0.0,0.0,0.0
Commune de Adja-Ouere - Bénin,adja-ouere,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Adjarra - Bénin,adjarra,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Adjohoun - Bénin,adjohoun,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Akpro-Missérété - Bénin,akpro-misserete,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Allada - Bénin,allada,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Aplahoué - Bénin,aplahoue,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Avrankou - Bénin,avrankou,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Bopa - Bénin,bopa,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Comè - Bénin,come,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Dangbo - Benin,dangbo,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Ifangni - Bénin,ifangni,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Klouékanmè - Bénin,klouekanme,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Kpomassè - Bénin,kpomasse,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Kétou - Bénin,ketou,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Lalo - Bénin,lalo,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Parakou - Bénin,parakou,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Pobè - Bénin,pobe,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Toffo - Bénin,toffo,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Toviklin - Bénin,toviklin,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Commune de Zè - Bénin,ze,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Compassion UK,comp_uk,International NGO,0,0,0.0,0.0,0.0,0.0
Concern Worldwide,concern_worldwide,International NGO,0,0,0.0,0.0,0.0,0.0
Concern Worldwide UK,concernuk,International NGO,39,100,0.0,0.0,0.0,25.0
Conciliation Resources,cr,International NGO,0,0,0.0,0.0,0.0,0.0
Conciliation Resources Australia,cra,Regional NGO,0,0,0.0,0.0,0.0,0.0
Concordis International,concordis,International NGO,0,0,0.0,0.0,0.0,0.0
CONEXIÓN,conexionla,Regional NGO,0,0,0.0,0.0,0.0,0.0
Confederation of Danish Industry,di,Private Sector,0,0,0.0,0.0,0.0,0.0
Conflict Dynamics International,cdi,International NGO,0,0,0.0,0.0,0.0,0.0
"Conflict, Stability and Security Fund",cssf,Government,0,0,0.0,0.0,0.0,0.0
Congodorpen vzw,congodorpen,National NGO,0,0,0.0,0.0,0.0,0.0
Conseil et Appui pour l'Education à la Base Mali,caeb_mali,National NGO,0,0,0.0,0.0,0.0,0.0
Conservation International Foundation,c_i_f,International NGO,1,100,100.0,0.0,0.0,50.0
Consortium for Street Children,csc,International NGO,0,0,0.0,0.0,0.0,0.0
Consortium of Reproductive Health Associations (CORHA),corha,National NGO,0,0,0.0,0.0,0.0,0.0
Construction Sector Transparency Initiative (CoST),cost_uk,International NGO,0,0,0.0,0.0,0.0,0.0
convention de la société civile ivoirienne,csci_benkadi,National NGO,0,0,0.0,0.0,0.0,0.0
Coopération par l'Education et la Culture,cec,National NGO,0,0,0.0,0.0,0.0,0.0
Cord,cord,Regional NGO,0,0,0.0,0.0,0.0,0.0
Cordaid,cordaid,International NGO,263,100,100.0,34.22053231939163,0.0,58.555133079847906
Corporación de Apoyo a Comunidades Populares,codacop,National NGO,0,0,0.0,0.0,0.0,0.0
Corus International,corus,International NGO,0,0,0.0,0.0,0.0,0.0
Cowater International Inc,cowater,Private Sector,0,0,0.0,0.0,0.0,0.0
Cowater UK Limited,cowateruk,Private Sector,0,0,0.0,0.0,0.0,0.0
COWI,cowi,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Coöperatief Climate Fund Managers U.A.,cfm,Private Sector,0,0,0.0,0.0,0.0,0.0
CRANE,crane,National NGO,0,0,0.0,0.0,0.0,0.0
CREA,creausa-org,International NGO,2,100,100.0,0.0,0.0,50.0
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin,National NGO,0,0,0.0,0.0,0.0,0.0
Cross-Government Prosperity Fund,prosperityfund,Government,0,0,0.0,0.0,0.0,0.0
Crown Agents Limited,cal,Private Sector,0,0,0.0,0.0,0.0,0.0
CUAMM Trustees,cuammtrustees,National NGO,0,0,0.0,0.0,0.0,0.0
Cyan International,cyan,International NGO,0,0,0.0,0.0,0.0,0.0
D. Capital Partners,dcapitalpartners,Public Private Partnership,0,0,0.0,0.0,0.0,0.0
DAI Global Health,healthpartners-international,Private Sector,0,0,0.0,0.0,0.0,0.0
DAI Global UK,dai-e,Private Sector,0,0,0.0,0.0,0.0,0.0
Dalberg Catalyst,dalbergcatalyst,International NGO,0,0,0.0,0.0,0.0,0.0
Damiaanactie / Action Damien,damien-foundation,National NGO,0,0,0.0,0.0,0.0,0.0
dance4life,dance4life,International NGO,0,0,0.0,0.0,0.0,0.0
DanChurchAid,dca,International NGO,2,100,100.0,0.0,0.0,50.0
Danish Family Planning Association,dfpa,National NGO,0,0,0.0,0.0,0.0,0.0
Danish Red Cross,danishrc,National NGO,29,100,100.0,0.0,0.0,50.0
Danish Refugee Council,drc,International NGO,206,100,100.0,4.368932038834951,0.0,51.092233009708735
Danish Trade Union Development Agency (Ulandssekretariatet),loftf,International NGO,0,0,0.0,0.0,0.0,0.0
Danmission,danmission,National NGO,2,100,100.0,0.0,0.0,50.0
Data4Development,d4d,Private Sector,1,100,100.0,0.0,0.0,50.0
DataDrivenFinance Kenya Ltd,ddfkenya,Private Sector,0,0,0.0,0.0,0.0,0.0
David Gordon Memorial Hospital,dgmh,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Dawuro Development Association,dawuro_da,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
DCAF - Geneva Centre for Security Sector Governance,dcaf,Foundation,0,0,0.0,0.0,0.0,0.0
DeafKidz International,dki1151219,International NGO,0,0,0.0,0.0,0.0,0.0
DECP,decp,National NGO,28,100,100.0,100.0,0.0,75.0
DeepRoot Consulting,dr,Private Sector,0,0,0.0,0.0,0.0,0.0
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,National NGO,0,0,0.0,0.0,0.0,0.0
DefendDefenders,defenddefenders,"Academic, Training and Research",8,100,100.0,0.0,0.0,50.0
Delivery Associates Ltd,delivery_associates,Private Sector,0,0,0.0,0.0,0.0,0.0
Deloitte Touche Tohmatsu India LLP,dttillp,Private Sector,0,0,0.0,0.0,0.0,0.0
Democracy Reporting International gGmbH,dri,International NGO,0,0,0.0,0.0,0.0,0.0
Democratic Governance Facility,dgf,Other Public Sector,0,0,0.0,0.0,0.0,0.0
"Denmark - Ministry of Foreign Affairs, Danida",danida,Government,2562,100,98.98516783762685,1.483216237314598,0.0,50.11709601873536
Department for International Trade,dit,Government,0,0,0.0,0.0,0.0,0.0
Desmond Tutu HIV Foundation,dthfxx12,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Development Aid from People to People (DAPP) Malawi,dapp,National NGO,0,0,0.0,0.0,0.0,0.0
Development Expertise Center,dec_ethiopia,National NGO,1,100,100.0,0.0,0.0,50.0
Development Initiatives Poverty Research,dipr,International NGO,0,0,0.0,0.0,0.0,0.0
Development Media International,dmi_admin,International NGO,0,0,0.0,0.0,0.0,0.0
Development Organisation of the Rural Poor,dorp-org,National NGO,0,0,0.0,0.0,0.0,0.0
Developments In Literacy Trust UK,diltuk,International NGO,0,0,0.0,0.0,0.0,0.0
Devidayal Solar Solutions Private Limited,ddsolar,Private Sector,0,0,0.0,0.0,0.0,0.0
Diakonia (Sweden),diakonia-sweden,International NGO,0,0,0.0,0.0,0.0,0.0
Digital Campus,dc,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Direcção Provincial de Saúde de Nampula,dps-nampula,Government,0,0,0.0,0.0,0.0,0.0
Disability and Development Partners,ddp,International NGO,0,0,0.0,0.0,0.0,0.0
Disability Rights Advocacy Fund,draf,International NGO,0,0,0.0,0.0,0.0,0.0
Disability Rights Fund,drf,International NGO,0,0,0.0,0.0,0.0,0.0
Disabled People's Organisations Denmark,dpod,National NGO,0,0,0.0,0.0,0.0,0.0
Disasters Emergency Committee,dec-uk,National NGO,13,100,100.0,69.23076923076923,0.0,67.3076923076923
"Discovery Learning Alliance, Inc.",dla,International NGO,0,0,0.0,0.0,0.0,0.0
DiXi Group NGO,dixigroup,National NGO,0,0,0.0,0.0,0.0,0.0
Djapo,djapo,National NGO,0,0,0.0,0.0,0.0,0.0
DKT - (Pakistan),dkt,Private Sector,0,0,0.0,0.0,0.0,0.0
DKT Ethiopia,dkt_ethiopia,International NGO,3,100,100.0,0.0,0.0,50.0
DKT International,dkti,International NGO,0,0,0.0,0.0,0.0,0.0
DKT RD Congo,dkt_drc,National NGO,1,100,100.0,100.0,0.0,75.0
DNH Mali (Direction Nationale de l’Hydraulique du Mali),pca-gire,Government,0,0,0.0,0.0,0.0,0.0
Doctors of the World (NL)/ Dokters van de Wereld,mdmnl,International NGO,3,100,100.0,0.0,0.0,50.0
Doctors of the World UK,dotw_uk,International NGO,0,0,0.0,0.0,0.0,0.0
Doctors with Africa CUAMM,cuamm,International NGO,8,100,100.0,0.0,0.0,50.0
Dorcas Aid International,dai,International NGO,7,100,100.0,0.0,0.0,50.0
Down syndrome Foundation Nigeria,dsfn,National NGO,1,100,100.0,0.0,0.0,50.0
Drugs for Neglected Diseases initiative (DNDi),dndi_transparency,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
DUF - The Danish Youth Council,duf,National NGO,0,0,0.0,0.0,0.0,0.0
Dushtha Shasthya Kendra,dsk,National NGO,0,0,0.0,0.0,0.0,0.0
Dynamo International asbl,dynamo_international,National NGO,0,0,0.0,0.0,0.0,0.0
Défi Belgique Afrique,dba,National NGO,0,0,0.0,0.0,0.0,0.0
Dóchas - Irish Association of Non Governmental Development Organisations,dochas,National NGO,0,0,0.0,0.0,0.0,0.0
"E3 - Ecología, Economía y Etíca",grupoe3,Private Sector,0,0,0.0,0.0,0.0,0.0
EABX,eabx,Private Sector,0,0,0.0,0.0,0.0,0.0
Earthworm Foundation,ewf,International NGO,1,100,100.0,0.0,0.0,50.0
East African Playgrounds,eap,International NGO,0,0,0.0,0.0,0.0,0.0
ECDPM,ecdpm,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Echos Communication,ec,National NGO,0,0,0.0,0.0,0.0,0.0
Eclosio,eclosio,National NGO,0,0,0.0,0.0,0.0,0.0
Economic and Social Fund for Development,esfd,Government,0,0,0.0,0.0,0.0,0.0
Economic and Social Research Foundation (ESRF),esrf,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Ecorys Nederland B.V.,ecorysnl,Private Sector,0,0,0.0,0.0,0.0,0.0
Ecorys UK,ecuk,Private Sector,0,0,0.0,0.0,0.0,0.0
Ecovega Enterprises,ecovega,Private Sector,0,0,0.0,0.0,0.0,0.0
Educate!,educate,International NGO,0,0,0.0,0.0,0.0,0.0
Education Cannot Wait,ecw,Multilateral,288,100,100.0,0.0,0.0,50.0
"Education Development Center, Inc.",edc,International NGO,1,100,100.0,0.0,0.0,50.0
Education Development Trust,eddevtrust,International NGO,6,100,100.0,0.0,0.0,50.0
Edukans Foundation,edukans_foundation,International NGO,0,0,0.0,0.0,0.0,0.0
ELEVATE Hong Kong Holdings Limited,elevatelimited,Private Sector,0,0,0.0,0.0,0.0,0.0
Elrha,elrha,International NGO,4,100,100.0,0.0,0.0,50.0
Elton John AIDS Foundation,ejaf,Foundation,2,100,100.0,0.0,0.0,50.0
Emissa,emissa,National NGO,0,0,0.0,0.0,0.0,0.0
Emmanuel International UK,eiuk,International NGO,0,0,0.0,0.0,0.0,0.0
EMMS International,emms,International NGO,3,100,100.0,100.0,0.0,75.0
Energy 4 Impact,e4i,International NGO,2,100,100.0,0.0,0.0,50.0
Energy Saving Trust,energy_saving_trust,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Enfance Tiers Monde Kinderen Derde Wereld,etmkdw,National NGO,0,0,0.0,0.0,0.0,0.0
EngenderHealth,ehorg,International NGO,1,100,100.0,0.0,0.0,50.0
EngenderHealth Ethiopia,engenderhealth_eth,International NGO,3,100,100.0,0.0,0.0,50.0
Engineers Without Borders Canada,ewb_canada,International NGO,0,0,0.0,0.0,0.0,0.0
Enhanced Integrated Framework,eif,Multilateral,0,0,0.0,0.0,0.0,0.0
Enroot,nroot,Private Sector,0,0,0.0,0.0,0.0,0.0
"Entiqal for Training ""Partners for Good""",pfg,National NGO,0,0,0.0,0.0,0.0,0.0
Entraide et Fraternité,ef_,National NGO,0,0,0.0,0.0,0.0,0.0
Environmental Centre for Oil Spills and Gas Flaring (NACGOND),nacgond-,National NGO,6,100,100.0,0.0,0.0,50.0
Equality Fund,ef,International NGO,0,0,0.0,0.0,0.0,0.0
Equality Now,e_n,International NGO,0,0,0.0,0.0,0.0,0.0
Equatorial Power Limited,ep,Private Sector,0,0,0.0,0.0,0.0,0.0
equileap,equileap,International NGO,0,0,0.0,0.0,0.0,0.0
Ethical Trading Initiative,eti,International NGO,0,0,0.0,0.0,0.0,0.0
Ethiopiaid Ireland,ethiopiaidireland,International NGO,9,100,100.0,0.0,0.0,50.0
Ethiopiaid UK,ethiopiaiduk,International NGO,5,100,100.0,0.0,0.0,50.0
Ethiopian Horticulture Producer Exporters Association (EHPEA),ehpea,National NGO,0,0,0.0,0.0,0.0,0.0
Ethiopian Public Health Association,epha,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Ethiopian Women Lawyers Association,ewla,National NGO,1,100,100.0,0.0,0.0,50.0
Ethiopian Women with Disabilities National Assocation,ewdna2025,National NGO,0,0,0.0,0.0,0.0,0.0
Eurasia Partnership Foundation,epf,Foundation,0,0,0.0,0.0,0.0,0.0
European Bank for Reconstruction and Development,ebrd,Multilateral,0,0,0.0,0.0,0.0,0.0
European Commission - Humanitarian Aid & Civil Protection,ec-echo,Other Public Sector,8646,100,100.0,64.08743927827896,72.48438584316446,84.14295628036086
European Commission - International Partnerships,ec-intpa,Other Public Sector,0,0,0.0,0.0,0.0,0.0
European Commission - Neighbourhood and Enlargement Negotiations,ec-near,Other Public Sector,0,0,0.0,0.0,0.0,0.0
European Commission - Service for Foreign Policy Instruments,ec-fpi,Other Public Sector,0,0,0.0,0.0,0.0,0.0
European Forest Institute,efi,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
European Institute of Peace,eip,Other Public Sector,9,100,100.0,0.0,0.0,50.0
European Investment Bank,eib,Multilateral,0,0,0.0,0.0,0.0,0.0
European Journalism Centre,ejc,National NGO,0,0,0.0,0.0,0.0,0.0
Eve Organization for Women Development,eveowd,National NGO,1,100,100.0,0.0,0.0,50.0
EveryChild,evc,International NGO,0,0,0.0,0.0,0.0,0.0
Excellent Development,excellent,International NGO,0,0,0.0,0.0,0.0,0.0
Exeter Ethiopia Link,eel,International NGO,0,0,0.0,0.0,0.0,0.0
Fair Wear Foundation,fwf,International NGO,0,0,0.0,0.0,0.0,0.0
FairChain Foundation,fc-f,International NGO,0,0,0.0,0.0,0.0,0.0
Fairfood International,fairfood,National NGO,0,0,0.0,0.0,0.0,0.0
Fairtrade Belgium,fairtrade_be,National NGO,0,0,0.0,0.0,0.0,0.0
Fairtrade Labelling Organizations International e.V.,fairtrade_international,International NGO,0,0,0.0,0.0,0.0,0.0
Faith to Action Network,f2a,International NGO,0,0,0.0,0.0,0.0,0.0
Family Aids Caring Trust,fact,National NGO,0,0,0.0,0.0,0.0,0.0
Family Counseling and Development Foundation,fcdf,National NGO,4,100,100.0,100.0,0.0,75.0
Family Guidance Association of Ethiopia,fgae_ethiopia,National NGO,0,0,0.0,0.0,0.0,0.0
Family Life Education Program,flepuganda,National NGO,0,0,0.0,0.0,0.0,0.0
Farm Africa,fa,International NGO,0,0,0.0,0.0,0.0,0.0
Farm Concern International,fci,Regional NGO,0,0,0.0,0.0,0.0,0.0
Fauna & Flora International,ffi_publisher,International NGO,0,0,0.0,0.0,0.0,0.0
Federation of Women Lawyers Kenya,fida,National NGO,0,0,0.0,0.0,0.0,0.0
fedesarrollo,fedesarrollo,Private Sector,0,0,0.0,0.0,0.0,0.0
Feed the Minds,ftm-291333,International NGO,0,0,0.0,0.0,0.0,0.0
Female,female,National NGO,1,100,100.0,0.0,0.0,50.0
FHI360,fhi360,International NGO,0,0,0.0,0.0,0.0,0.0
Fiabel,fiabel,National NGO,0,0,0.0,0.0,0.0,0.0
FIAN Belgium,fian-belgium,National NGO,0,0,0.0,0.0,0.0,0.0
"Field Ready, USA",field_ready,International NGO,1,100,100.0,0.0,0.0,50.0
Fiftyfifty,fiftyfifty-lb,National NGO,2,100,100.0,0.0,0.0,50.0
Fight for Humanity,ffh,International NGO,0,0,0.0,0.0,0.0,0.0
Fight Hunger Foundation,fhf,National NGO,1,100,100.0,0.0,0.0,50.0
Financial Sector Deepening Trust (Kenya),fsdk,Other Public Sector,0,0,0.0,0.0,0.0,0.0
Financial Sector Deepening Uganda,fsduganda,National NGO,0,0,0.0,0.0,0.0,0.0
FIND,finddiagnostics,Foundation,0,0,0.0,0.0,0.0,0.0
Find Your Feet,fyf,International NGO,0,0,0.0,0.0,0.0,0.0
Finland - Ministry for Foreign Affairs,finland_mfa,Government,1109,100,0.0,0.0,0.0,25.0
Finn Church Aid (Kirkon Ulkomaanapu sr),fca,International NGO,0,0,0.0,0.0,0.0,0.0
FMDQ Group PLC,fmdqgroupplc_2013,Private Sector,0,0,0.0,0.0,0.0,0.0
FMO,fmo,Public Private Partnership,0,0,0.0,0.0,0.0,0.0
FONCABA ASBL KBA VZW,foncaba,National NGO,0,0,0.0,0.0,0.0,0.0
Fondation Hirondelle,fh_ch,International NGO,1,100,100.0,0.0,0.0,50.0
Fondo Centroamericano de Mujeres,fcam,Foundation,0,0,0.0,0.0,0.0,0.0
Fonds voor Ontwikkelingssamenwerking - Socialistische Solidariteit VZW,fos,National NGO,0,0,0.0,0.0,0.0,0.0
Food and Agriculture Organization of the United Nations (FAO),fao,Multilateral,362,100,0.0,0.0,0.0,25.0
Food for the Hungry UK,fh,International NGO,1,100,100.0,0.0,0.0,50.0
Forest Trends Association,forest-trends,International NGO,1,100,100.0,0.0,0.0,50.0
Forests Monitor,fm,International NGO,0,0,0.0,0.0,0.0,0.0
Forests of the World,fowdk,International NGO,1,100,100.0,0.0,0.0,50.0
Forever Sabah,fs,National NGO,0,0,0.0,0.0,0.0,0.0
Forschungsinstitut zur Zukunft der Arbeit GmbH (IZA),iza,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Forum for Africa Women Educationalist Regional Secretariat,fawe-rs,Regional NGO,0,0,0.0,0.0,0.0,0.0
forum for women in democracy,fowode,National NGO,0,0,0.0,0.0,0.0,0.0
Forum Universitaire pour la Coopération Internationale au Développement -FUCID ASBL,fucid,National NGO,0,0,0.0,0.0,0.0,0.0
Fosera Solarsystems GmbH & Co. KG aA,fosaa,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
Foundation for Social Improvement,the_fsi,"Academic, Training and Research",0,0,0.0,0.0,0.0,0.0
France - Ministry for Europe and Foreign Affairs,france,Government,114,100,0.0,0.0,0.0,25.0
FRANK Water,frankwater,International NGO,0,0,0.0,0.0,0.0,0.0
Free a Girl,freeagirl,Foundation,0,0,0.0,0.0,0.0,0.0
Free Press Unlimited,free_press_unlimited,International NGO,0,0,0.0,0.0,0.0,0.0
Freedom Forum,ff,National NGO,0,0,0.0,0.0,0.0,0.0
Friends of Kipkelion,kipkelion,Regional NGO,0,0,0.0,0.0,0.0,0.0
Friends of Publish What You Fund,friendsofpwyf,International NGO,0,0,0.0,0.0,0.0,0.0
"Friends of the Earth England, Wales and Northern Ireland",foe_ewni,National NGO,0,0,0.0,0.0,0.0,0.0
Friends of the Earth International,foei,International NGO,0,0,0.0,0.0,0.0,0.0
Friends of the Earth-Ghana,foe-ghana,National NGO,0,0,0.0,0.0,0.0,0.0
Friendship,fb_2023,National NGO,0,0,0.0,0.0,0.0,0.0
Frontclear,frontclear_ftap,Private Sector,0,0,0.0,0.0,0.0,0.0
Frontline AIDS,f-aids,International NGO,1,100,100.0,0.0,0.0,50.0
Frères des Hommes,fdhommes,National NGO,0,0,0.0,0.0,0.0,0.0
FSD Africa,fsdafrica,International NGO,0,0,0.0,0.0,0.0,0.0
Fundacion Acceso,fundacion-acceso,Regional NGO,0,0,0.0,0.0,0.0,0.0
Fundacion Pacto Especializada en el Apoyo de Iniciativas Sociales,feadin,Regional NGO,2,100,100.0,50.0,0.0,62.5
Fundación Avina,fundacionavina,Foundation,0,0,0.0,0.0,0.0,0.0
Fundación de Antropología Forense de Guatemala,fafg,International NGO,0,0,0.0,0.0,0.0,0.0
Fundación Fondo Mujeres del Sur,fms,Foundation,0,0,0.0,0.0,0.0,0.0
Fundación Gaia Amazonas,gaia,Regional NGO,0,0,0.0,0.0,0.0,0.0
Fundación Oriéntame,orientame,National NGO,0,0,0.0,0.0,0.0,0.0
Fundo de Investimento e Patrimonio do Abastecimento de Água (FIPAG),fipag,Other Public Sector,1,100,100.0,0.0,0.0,50.0
GALZ,galz,National NGO,0,0,0.0,0.0,0.0,0.0
Gates Foundation,bmgf,Foundation,147,100,100.0,0.0,0.0,50.0
Gatsby Africa,ga,Foundation,7,100,100.0,0.0,0.0,50.0
"Gavi, the vaccine alliance",gavi,Public Private Partnership,0,0,0.0,0.0,0.0,0.0
GEF Secretariat,gef,Multilateral,0,0,0.0,0.0,0.0,0.0
GEMS Education Solutions,mgcubed,Private Sector,0,0,0.0,0.0,0.0,0.0
Gender at Work,genderatwork,International NGO,0,0,0.0,0.0,0.0,0.0
Gender Equality Network,gen,National NGO,0,0,0.0,0.0,0.0,0.0
Gender Links,gl,Regional NGO,0,0,0.0,0.0,0.0,0.0
Geneva International Centre for Humanitarian Demining,gichd,Foundation,19,100,100.0,0.0,0.0,50.0
Genome Research Limited,grl,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
GEOMOUN ASBL,geomoun,National NGO,0,0,0.0,0.0,0.0,0.0
George Institute for Global Health,tgi_india,"Academic, Training and Research",1,100,100.0,0.0,0.0,50.0
Germany - Federal Foreign Office,fo_germany,Government,1132,100,100.0,35.24734982332156,82.95053003533569,79.54946996466431
Germany - Ministry for Economic Cooperation and Development,bmz,Government,504,100,0.0,0.0,0.0,25.0
Germany GIZ Non BMZ,giz,Other Public Sector,1,100,0.0,0.0,0.0,25.0
GHANA NETHERLANDS BUSINESS & CULTURE COUNCIL,gnbcc,National NGO,11,100,100.0,0.0,0.0,50.0
Girls Not Brides: The Global Partnership to End Child Marriage,girlsnotbrides,International NGO,0,0,0.0,0.0,0.0,0.0
Girls’ Education Challenge – Fund Manager PwC,gecfundmanagerpwc,Private Sector,0,0,0.0,0.0,0.0,0.0
