Publisher Name,Publisher Registry Id,Transaction - Commitment (with valid data),Transaction - Disbursement or Expenditure (with valid data),Transaction - Traceability (with valid data),Budget (with valid data),Average (with valid data),Transaction - Commitment (with any data),Transaction - Disbursement or Expenditure (with any data),Transaction - Traceability (with any data),Budget (with any data),Average (with any data)
Cambridge Institute for Sustainability Leadership,cisl,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Camfed International,camfed,-,-,-,100.0,25.0,-,-,-,100.0,25.0
Canada - Global Affairs Canada | Affaires mondiales Canada,gac-amc,100.0,91.13924050632912,100.0,100.0,97.78481012658227,100.0,91.13924050632912,100.0,100.0,97.78481012658227
Canada - International Development Research Centre/Centre de recherches pour le développement international,idrccrdi,99.45848375451264,94.15807560137456,74.54873646209387,100.0,92.04132395449527,99.45848375451264,94.15807560137456,74.54873646209387,100.0,92.04132395449527
Canada Department of Finance / Ministère des Finances Canada,finance_canada,-,-,-,-,0.0,-,-,-,-,0.0
CANADEM,canadem,0.0,7.6923076923076925,-,92.3076923076923,25.0,0.0,7.6923076923076925,-,92.3076923076923,25.0
Canon Collins Trust,canoncollinstrust,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
CAPABUILD,capabui,100.0,0.0,62.5,100.0,65.625,100.0,0.0,62.5,100.0,65.625
Carbon Trust (Beijing) Consulting Limited,ctbeijing,-,-,-,-,0.0,-,-,-,-,0.0
Carbon Trust Advisory Ltd,carbontrustadvisory,0.0,100.0,100.0,200.0,100.0,0.0,100.0,100.0,200.0,100.0
Cardno Emerging Markets,cardnoem,-,-,-,-,0.0,-,-,-,-,0.0
CARE Bangladesh,carebd,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
CARE BENIN/TOGO,carebenintogo,100.0,0.0,100.0,100.0,75.0,100.0,0.0,100.0,100.0,75.0
CARE Danmark Fonden for Frivillig Ulandsbistand,12921047,37.5,0.0,100.0,37.5,43.75,37.5,0.0,100.0,37.5,43.75
CARE International Afghanistan,ciafg,-,-,-,-,0.0,-,-,-,-,0.0
CARE international foundation Switzerland in Sudan,cis,-,-,-,-,0.0,-,-,-,-,0.0
CARE International in Zimbabwe,ciz,-,-,-,-,0.0,-,-,-,-,0.0
CARE International UK,ciuk,0.3105590062111801,67.41935483870968,57.84313725490197,100.0,56.39326277495571,0.3105590062111801,67.41935483870968,57.84313725490197,100.0,56.39326277495571
CARE Nederland,carenederland,60.0,57.89473684210527,100.0,15.0,58.223684210526315,60.0,57.89473684210527,100.0,15.0,58.223684210526315
CARE Nepal,cnepal,-,-,-,-,0.0,-,-,-,-,0.0
CARE SOMALIA,csom1,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Carers Worldwide,cww,-,-,-,-,0.0,-,-,-,-,0.0
Caribbean Development Bank (CDB),caribank,0.0,33.33333333333333,100.0,33.33333333333333,41.66666666666666,0.0,33.33333333333333,100.0,33.33333333333333,41.66666666666666
Caritas Denmark,caritas_denmark,-,-,-,-,0.0,-,-,-,-,0.0
Caritas Finland,caritasfin,-,-,-,-,0.0,-,-,-,-,0.0
Caritas International (Belgium),cibe,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Caritas Serbia,caritas_serbia,-,-,-,-,0.0,-,-,-,-,0.0
CARPO - Center for Applied Research in Partnership with the Orient,carpo,-,-,-,-,0.0,-,-,-,-,0.0
Catholic Agency For Overseas Development (CAFOD),cafod,0.0,83.9080459770115,100.0,100.0,70.97701149425288,0.0,83.9080459770115,100.0,100.0,70.97701149425288
Catholic Relief Services,crs,100.0,100.0,66.66666666666666,100.0,91.66666666666666,100.0,100.0,66.66666666666666,100.0,91.66666666666666
CDA Collaborative Learning Projects,cda,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
CDAC Network,cdacnetwork,0.0,75.0,100.0,100.0,68.75,0.0,75.0,100.0,100.0,68.75
CDP Worldwide,cdp,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Cecily's Fund,cecily,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Center for Church-Based Development,cku,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
Center for Civilians in Conflict,civic_admin,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Center for Development and Integration,cdi_vn_2021,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Center for International Legal Cooperation (CILC),cilc,-,-,-,-,0.0,-,-,-,-,0.0
Center for International Studies and Cooperation,ceci,-,-,-,-,0.0,-,-,-,-,0.0
Center for Natural Resource Studies (CNRS),cnrs,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
Center for Participation and Development,cpd_2021,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Center for Research on Environment Health and Population Activities (CREHPA),crehpa,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
"Center for Research, Evaluation Resources and Development (CRERD)",crerd_ng,100.0,0.0,100.0,100.0,75.0,100.0,0.0,100.0,100.0,75.0
Center for the Study of Islam and Society (PPIM),ppim,-,-,-,-,0.0,-,-,-,-,0.0
Centre des Etudes Méditerranéennes et Internationales,cemi,-,-,-,-,0.0,-,-,-,-,0.0
Centre Diocésain de Communication de Ouahigouya,cdc_ohg,-,-,-,-,0.0,-,-,-,-,0.0
Centre For Citizens With Disabilities,ccdnigeria,-,-,-,-,0.0,-,-,-,-,0.0
Centre for Economic Policy Research,cepr,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Centre for Economic Strategy Ukraine,ces-ua,-,-,-,-,0.0,-,-,-,-,0.0
Centre for Environment Human Rights and Development,cehrd1,-,-,-,-,0.0,-,-,-,-,0.0
Centre for Humanitarian Dialogue (HD Centre),hdcentre,-,-,-,-,0.0,-,-,-,-,0.0
Centre for Indian Knowledge Systems,ciks,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
"Centre for Injury Prevention and Research, Bangladesh (CIPRB)",ciprb,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Centre for Journalism Innovation and Development,cjid_ng,100.0,-,100.0,100.0,75.0,100.0,-,100.0,100.0,75.0
Centre for Legal Research and Development,clerd-prpi,-,-,-,-,0.0,-,-,-,-,0.0
Centre for Policy Dialogue,cpd,-,-,-,-,0.0,-,-,-,-,0.0
Centre for Rights Education and Awareness,creawkenya,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Centre for the Study of Adolescence,csa-kenya,-,-,-,-,0.0,-,-,-,-,0.0
Centre International de Développement et de Recherche,cidr,-,-,-,-,0.0,-,-,-,-,0.0
Centre National de Coopération au Développement (CNCD-11.11.11),cncd,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Centre Tricontinental - CETRI,ct-admin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Centro Brasileiro de Análise e Planejamento - Cebrap,_cebrap,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Centro de Aprendizagem e Capacitação da Sociedade Civil,cesc,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Centro de Inteligência Territorial,cit_brazil,-,-,-,-,0.0,-,-,-,-,0.0
Centro de Promocion y Defensa de los Derechos Sexuales y Reproductivos,promsex,-,-,-,-,0.0,-,-,-,-,0.0
Cesvi,cesvi,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
CGIAR,cgiar,98.95742832319722,0.0,2.780191138140747,98.95742832319722,50.173761946133794,98.95742832319722,0.0,2.780191138140747,98.95742832319722,50.173761946133794
Chama cha Uzazi na Malezi Bora Tanzania (UMATI),umati,-,-,-,-,0.0,-,-,-,-,0.0
Chance for Childhood,chanceforchildhood,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Charity Projects Ltd (Comic Relief),cprojects,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
Chaîne de l'Espoir Belgique / Keten van Hoop België / Chain of Hope Belgium,cdeb-kvhb_admin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CHEKA SANA TANZANIA,cst,-,-,-,-,0.0,-,-,-,-,0.0
Chemonics Group UK Ltd,chemonics_uk,0.0,100.0,12.5,87.5,50.0,0.0,100.0,12.5,87.5,50.0
Chemonics International Inc.,chemonics,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Child Rights Coalition Asia,crcasia,16.666666666666664,100.0,100.0,100.0,79.16666666666666,16.666666666666664,100.0,100.0,100.0,79.16666666666666
Child-to-Child,ctc,-,-,-,-,0.0,-,-,-,-,0.0
Child.org,child-dot_org,-,-,-,-,0.0,-,-,-,-,0.0
ChildFund International,childfund,-,-,-,-,0.0,-,-,-,-,0.0
ChildHope UK,childhopeuk,50.0,100.0,50.0,50.0,62.5,50.0,100.0,50.0,50.0,62.5
Children in Crisis,cic,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Children in Crossfire,cicni,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
CHOICE for Youth and Sexuality,cfyas,33.33333333333333,100.0,66.66666666666666,100.0,75.0,33.33333333333333,100.0,66.66666666666666,100.0,75.0
Christian Aid,caid,0.0,95.72192513368985,-,100.0,48.930481283422466,0.0,95.72192513368985,-,100.0,48.930481283422466
Christian Aid Ireland,caid_ireland,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Christian Blind Mission (UK) Ltd.,cbm,33.33333333333333,33.33333333333333,75.0,100.0,60.416666666666664,33.33333333333333,33.33333333333333,75.0,100.0,60.416666666666664
Christian Engineers in Development,ced,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Church of England - The Archbishops' Council,coe-abc,-,-,-,-,0.0,-,-,-,-,0.0
CIFAL Scotland,cifal,-,-,-,-,0.0,-,-,-,-,0.0
CINI,cini_jhk,-,-,-,-,0.0,-,-,-,-,0.0
CISU,cisu,0.0,44.284603421461895,99.96488764044943,99.92977528089888,61.04481658570255,0.0,44.284603421461895,99.96488764044943,99.92977528089888,61.04481658570255
City of London Corporation,col-greenfinance,-,-,-,-,0.0,-,-,-,-,0.0
CIVICUS World Alliance for Citizen Participation,civicus,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CIVIL INITIATIVES FOR DEVELOPMENT AND PEACE INDIA,cividep,0.0,50.0,0.0,100.0,37.5,0.0,50.0,0.0,100.0,37.5
CLASP,clasp,0.0,90.0,11.11111111111111,50.0,37.77777777777778,0.0,90.0,11.11111111111111,50.0,37.77777777777778
Clean Clothes Campaign,ccc,50.0,100.0,100.0,100.0,87.5,50.0,100.0,100.0,100.0,87.5
ClientEarth,clientearth-1,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
CLIMATE ACTION PLATFORM - AFRICA,cap-a,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Climate Bonds Initiative,cbi,-,-,-,-,0.0,-,-,-,-,0.0
Climate Investment Funds,cif,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
Climate Policy Initiative,cpi,0.0,0.0,-,66.66666666666666,16.666666666666664,0.0,0.0,-,66.66666666666666,16.666666666666664
Clinton Health Access Initiative,chai,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
CNV Internationaal,nl-kvk-54436222-27541,74.68354430379746,92.40506329113924,100.0,100.0,91.77215189873418,74.68354430379746,92.40506329113924,100.0,100.0,91.77215189873418
Coalition for Epidemic Preparedness Innovations,cepi,0.0,100.0,0.0,0.0,25.0,0.0,100.0,0.0,0.0,25.0
Coalition of African Lesbians (CAL),cal_2000-pu,30.0,90.0,100.0,100.0,80.0,30.0,90.0,100.0,100.0,80.0
Cobra Collective CIC,cobracollective,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
COC Nederland,cocnl_publisher,100.0,100.0,63.63636363636363,100.0,90.9090909090909,100.0,100.0,63.63636363636363,100.0,90.9090909090909
CODA International,coda,-,-,-,-,0.0,-,-,-,-,0.0
CODEART ASBL,codeart,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Coffey International Development,coffey,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
ColaLife,colalife,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
Collectif Stratégies Alimentaires,csa,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Collective for Research and Training on Development Action,crtda,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Comité pour l'abolition des dettes illégitimes,cadtm,-,-,-,-,0.0,-,-,-,-,0.0
COMMISSION JUSTICE ET PAIX ASBL (cjp),cjp,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Commonwealth Local Government Forum,clgf_data,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Commune de Adja-Ouere - Bénin,adja-ouere,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Adjarra - Bénin,adjarra,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Adjohoun - Bénin,adjohoun,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Akpro-Missérété - Bénin,akpro-misserete,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Allada - Bénin,allada,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Aplahoué - Bénin,aplahoue,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Commune de Avrankou - Bénin,avrankou,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Bopa - Bénin,bopa,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Commune de Comè - Bénin,come,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Dangbo - Benin,dangbo,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Ifangni - Bénin,ifangni,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Klouékanmè - Bénin,klouekanme,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Kpomassè - Bénin,kpomasse,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Kétou - Bénin,ketou,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Lalo - Bénin,lalo,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Commune de Parakou - Bénin,parakou,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Pobè - Bénin,pobe,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Commune de Toffo - Bénin,toffo,-,-,-,-,0.0,-,-,-,-,0.0
Commune de Toviklin - Bénin,toviklin,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Commune de Zè - Bénin,ze,-,-,-,-,0.0,-,-,-,-,0.0
Compassion UK,comp_uk,-,-,-,-,0.0,-,-,-,-,0.0
Concern Worldwide,concern_worldwide,41.02564102564102,79.48717948717949,84.61538461538461,53.84615384615385,64.74358974358975,41.02564102564102,79.48717948717949,84.61538461538461,53.84615384615385,64.74358974358975
Concern Worldwide UK,concernuk,42.857142857142854,46.42857142857143,100.0,53.57142857142857,60.71428571428571,42.857142857142854,46.42857142857143,100.0,53.57142857142857,60.71428571428571
Conciliation Resources,cr,33.33333333333333,-,-,66.66666666666666,24.999999999999996,33.33333333333333,-,-,66.66666666666666,24.999999999999996
Conciliation Resources Australia,cra,0.0,-,0.0,100.0,25.0,0.0,-,0.0,100.0,25.0
Concordis International,concordis,-,-,-,-,0.0,-,-,-,-,0.0
CONEXIÓN,conexionla,20.0,80.0,100.0,80.0,70.0,20.0,80.0,100.0,80.0,70.0
Confederation of Danish Industry,di,0.0,100.0,100.0,50.0,62.5,0.0,100.0,100.0,50.0,62.5
Conflict Dynamics International,cdi,-,-,-,-,0.0,-,-,-,-,0.0
"Conflict, Stability and Security Fund",cssf,-,-,-,-,0.0,-,-,-,-,0.0
Congodorpen vzw,congodorpen,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Conseil et Appui pour l'Education à la Base Mali,caeb_mali,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Conservation International Foundation,c_i_f,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Consortium for Street Children,csc,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
Consortium of Reproductive Health Associations (CORHA),corha,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Construction Sector Transparency Initiative (CoST),cost_uk,0.0,23.684210526315788,0.0,100.0,30.921052631578945,0.0,23.684210526315788,0.0,100.0,30.921052631578945
convention de la société civile ivoirienne,csci_benkadi,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Coopération par l'Education et la Culture,cec,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cord,cord,-,-,-,-,0.0,-,-,-,-,0.0
Cordaid,cordaid,35.38461538461539,47.72727272727273,79.16666666666666,93.84615384615384,64.03117715617715,35.38461538461539,47.72727272727273,79.16666666666666,93.84615384615384,64.03117715617715
Corporación de Apoyo a Comunidades Populares,codacop,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Corus International,corus,-,-,-,-,0.0,-,-,-,-,0.0
Cowater International Inc,cowater,0.0,100.0,25.0,100.0,56.25,0.0,100.0,25.0,100.0,56.25
Cowater UK Limited,cowateruk,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
COWI,cowi,-,-,-,-,0.0,-,-,-,-,0.0
Coöperatief Climate Fund Managers U.A.,cfm,0.0,0.0,-,90.47619047619048,22.61904761904762,0.0,0.0,-,90.47619047619048,22.61904761904762
CRANE,crane,-,-,-,-,0.0,-,-,-,-,0.0
CREA,creausa-org,15.0,100.0,96.875,25.0,59.21875,15.0,100.0,96.875,25.0,59.21875
Croix-Rouge de Belgique Communauté francophone - Activités internationales ASBL,crb-ai_admin,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Cross-Government Prosperity Fund,prosperityfund,-,-,-,-,0.0,-,-,-,-,0.0
Crown Agents Limited,cal,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
CUAMM Trustees,cuammtrustees,-,-,-,-,0.0,-,-,-,-,0.0
Cyan International,cyan,-,-,-,-,0.0,-,-,-,-,0.0
D. Capital Partners,dcapitalpartners,0.0,100.0,7.6923076923076925,0.0,26.923076923076923,0.0,100.0,7.6923076923076925,0.0,26.923076923076923
DAI Global Health,healthpartners-international,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
DAI Global UK,dai-e,0.0,100.0,55.55555555555556,100.0,63.888888888888886,0.0,100.0,55.55555555555556,100.0,63.888888888888886
Dalberg Catalyst,dalbergcatalyst,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Damiaanactie / Action Damien,damien-foundation,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
dance4life,dance4life,-,-,-,-,0.0,-,-,-,-,0.0
DanChurchAid,dca,0.0,98.36065573770492,-,100.0,49.59016393442623,0.0,98.36065573770492,-,100.0,49.59016393442623
Danish Family Planning Association,dfpa,0.0,94.11764705882352,100.0,5.88235294117647,50.0,0.0,94.11764705882352,100.0,5.88235294117647,50.0
Danish Red Cross,danishrc,8.333333333333332,83.33333333333334,100.0,87.5,69.79166666666667,8.333333333333332,83.33333333333334,100.0,87.5,69.79166666666667
Danish Refugee Council,drc,38.88888888888889,-,-,91.66666666666666,32.638888888888886,38.88888888888889,-,-,91.66666666666666,32.638888888888886
Danish Trade Union Development Agency (Ulandssekretariatet),loftf,25.0,75.0,100.0,75.0,68.75,25.0,75.0,100.0,75.0,68.75
Danmission,danmission,0.0,75.0,0.0,125.0,50.0,0.0,75.0,0.0,125.0,50.0
Data4Development,d4d,100.0,100.0,0.0,100.0,75.0,100.0,100.0,0.0,100.0,75.0
DataDrivenFinance Kenya Ltd,ddfkenya,-,-,-,-,0.0,-,-,-,-,0.0
David Gordon Memorial Hospital,dgmh,-,-,-,-,0.0,-,-,-,-,0.0
Dawuro Development Association,dawuro_da,-,-,-,-,0.0,-,-,-,-,0.0
DCAF - Geneva Centre for Security Sector Governance,dcaf,75.0,75.0,50.0,100.0,75.0,75.0,75.0,50.0,100.0,75.0
DeafKidz International,dki1151219,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
DECP,decp,3.225806451612903,96.7741935483871,100.0,100.0,75.0,3.225806451612903,96.7741935483871,100.0,100.0,75.0
DeepRoot Consulting,dr,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
Defence for Children International Netherlands - ECPAT Netherlands,dciecpatnl,11.76470588235294,-,-,94.11764705882352,26.470588235294116,11.76470588235294,-,-,94.11764705882352,26.470588235294116
DefendDefenders,defenddefenders,25.0,100.0,100.0,100.0,81.25,25.0,100.0,100.0,100.0,81.25
Delivery Associates Ltd,delivery_associates,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Deloitte Touche Tohmatsu India LLP,dttillp,-,-,-,-,0.0,-,-,-,-,0.0
Democracy Reporting International gGmbH,dri,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
Democratic Governance Facility,dgf,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"Denmark - Ministry of Foreign Affairs, Danida",danida,64.67321657411362,93.74021909233177,100.0,74.41264416915848,83.20651995890097,64.67321657411362,93.74021909233177,100.0,74.41264416915848,83.20651995890097
Department for International Trade,dit,-,-,-,-,0.0,-,-,-,-,0.0
Desmond Tutu HIV Foundation,dthfxx12,0.0,90.9090909090909,80.0,100.0,67.72727272727272,0.0,90.9090909090909,80.0,100.0,67.72727272727272
Development Aid from People to People (DAPP) Malawi,dapp,0.0,50.0,100.0,50.0,50.0,0.0,50.0,100.0,75.0,56.25
Development Expertise Center,dec_ethiopia,100.0,0.0,100.0,100.0,75.0,100.0,0.0,100.0,100.0,75.0
Development Initiatives Poverty Research,dipr,-,-,-,-,0.0,-,-,-,-,0.0
Development Media International,dmi_admin,-,-,-,-,0.0,-,-,-,-,0.0
Development Organisation of the Rural Poor,dorp-org,-,-,-,-,0.0,-,-,-,-,0.0
Developments In Literacy Trust UK,diltuk,-,-,-,-,0.0,-,-,-,-,0.0
Devidayal Solar Solutions Private Limited,ddsolar,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Diakonia (Sweden),diakonia-sweden,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Digital Campus,dc,-,-,-,-,0.0,-,-,-,-,0.0
Direcção Provincial de Saúde de Nampula,dps-nampula,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Disability and Development Partners,ddp,0.0,100.0,33.33333333333333,100.0,58.33333333333333,0.0,100.0,33.33333333333333,100.0,58.33333333333333
Disability Rights Advocacy Fund,draf,-,-,-,-,0.0,-,-,-,-,0.0
Disability Rights Fund,drf,0.0,0.0,0.0,100.0,25.0,0.0,0.0,0.0,100.0,25.0
Disabled People's Organisations Denmark,dpod,0.0,76.47058823529412,100.0,100.0,69.11764705882354,0.0,76.47058823529412,100.0,100.0,69.11764705882354
Disasters Emergency Committee,dec-uk,0.0,100.0,100.0,60.0,65.0,0.0,100.0,100.0,60.0,65.0
"Discovery Learning Alliance, Inc.",dla,-,-,-,-,0.0,-,-,-,-,0.0
DiXi Group NGO,dixigroup,0.0,-,0.0,100.0,25.0,0.0,-,0.0,100.0,25.0
Djapo,djapo,-,-,-,100.0,25.0,-,-,-,100.0,25.0
DKT - (Pakistan),dkt,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
DKT Ethiopia,dkt_ethiopia,0.0,100.0,66.66666666666666,100.0,66.66666666666666,0.0,100.0,66.66666666666666,100.0,66.66666666666666
DKT International,dkti,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
DKT RD Congo,dkt_drc,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
DNH Mali (Direction Nationale de l’Hydraulique du Mali),pca-gire,-,-,-,-,0.0,-,-,-,-,0.0
Doctors of the World (NL)/ Dokters van de Wereld,mdmnl,0.0,0.0,-,100.0,25.0,0.0,0.0,-,100.0,25.0
Doctors of the World UK,dotw_uk,-,-,-,-,0.0,-,-,-,-,0.0
Doctors with Africa CUAMM,cuamm,0.0,0.0,-,0.0,0.0,0.0,0.0,-,0.0,0.0
Dorcas Aid International,dai,45.0,60.0,64.28571428571429,90.0,64.82142857142857,45.0,60.0,64.28571428571429,90.0,64.82142857142857
Down syndrome Foundation Nigeria,dsfn,-,-,-,-,0.0,-,-,-,-,0.0
Drugs for Neglected Diseases initiative (DNDi),dndi_transparency,0.0,100.0,100.0,100.0,75.0,0.0,100.0,100.0,100.0,75.0
DUF - The Danish Youth Council,duf,0.0,79.3103448275862,100.0,100.0,69.82758620689656,0.0,79.3103448275862,100.0,100.0,69.82758620689656
Dushtha Shasthya Kendra,dsk,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
Dynamo International asbl,dynamo_international,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Défi Belgique Afrique,dba,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Dóchas - Irish Association of Non Governmental Development Organisations,dochas,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
"E3 - Ecología, Economía y Etíca",grupoe3,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
EABX,eabx,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
Earthworm Foundation,ewf,-,-,-,-,0.0,-,-,-,-,0.0
East African Playgrounds,eap,0.0,100.0,0.0,100.0,50.0,0.0,100.0,0.0,100.0,50.0
ECDPM,ecdpm,-,-,-,-,0.0,-,-,-,-,0.0
Echos Communication,ec,-,-,-,-,0.0,-,-,-,-,0.0
Eclosio,eclosio,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Economic and Social Fund for Development,esfd,0.0,0.0,100.0,100.0,50.0,0.0,0.0,100.0,100.0,50.0
Economic and Social Research Foundation (ESRF),esrf,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Ecorys Nederland B.V.,ecorysnl,-,-,-,-,0.0,-,-,-,-,0.0
Ecorys UK,ecuk,0.0,50.0,0.0,100.0,37.5,0.0,50.0,0.0,100.0,37.5
Ecovega Enterprises,ecovega,-,-,-,-,0.0,-,-,-,-,0.0
Educate!,educate,0.0,100.0,-,100.0,50.0,0.0,100.0,-,100.0,50.0
Education Cannot Wait,ecw,0.0,100.0,100.0,0.0,50.0,0.0,100.0,100.0,0.0,50.0
"Education Development Center, Inc.",edc,-,-,-,-,0.0,-,-,-,-,0.0
Education Development Trust,eddevtrust,0.0,100.0,100.0,125.0,81.25,0.0,100.0,100.0,125.0,81.25
Edukans Foundation,edukans_foundation,-,-,-,-,0.0,-,-,-,-,0.0
ELEVATE Hong Kong Holdings Limited,elevatelimited,-,-,-,-,0.0,-,-,-,-,0.0
